registered_name,category,gender,display_race_time,race_time,zwid,zp_name,team,subteam
Patrick Harvey,c,1,4:11:46.950000,15106.9500,88086,Patch  Harvey [ BRT ],BRT,
Jason Feltus,c,1,4:12:48.078000,15168.0780,91269,Jason Feltus Race3R,Race3R,
Jamie Watson,c,1,4:13:52.706000,15232.7060,448811,Jamie Watson BRT ,BRT,
David hill,c,1,4:14:48.749000,15288.7490,964610,david  hill (TFC),TFC,
Warren Honey,c,1,4:16:13.447000,15373.4470,1059788,Warren Honey \u26a1\ufe0f\U0001f9a1 \U0001f9f9(BRT Badgers),BRT,
Daniel Ongley,c,1,4:19:06.814000,15546.8140,2791237,Dan Ongley (ART-Neon),ART Neutrons,
Liam Chell,c,1,4:20:41.871000,15641.8710,2677607,Liam Chell (TFC),TFC,
Craig Gritzen,c,1,4:20:51.022000,15651.0220,527678,C raig [Team Vegan]\u270a\U0001f3fc,Team Vegan Crocodiles,
Robert Moseley,c,1,4:21:13.741000,15673.7410,2863452,Rob Moseley (ART Carbon),ART Isotopes,
Chantale Bouchard,c,2,4:21:15.006000,15675.0060,224992,  Chalou[Team Vegan] ,Team Vegan Crocodiles,
Guy Vandersmissen,c,1,4:23:38.654000,15818.6540,980133,Guy Vdsmis (TFC),TFC,
James Wyatt,c,1,4:25:26.377000,15926.3770,3244114,James Wyatt \u24cb [Team Vegan],Team Vegan Coconuts,
Morgan Bennett,c,2,4:26:53.954000,16013.9540,1665071,Morgan Bennett [Vegan Coconuts],Team Vegan Coconuts,
Donnie Macaulay,c,1,4:28:16.966000,16096.9660,867097,Donnie Macaulay (ART Neutrons),ART Neutrons,
Dean Marriott,c,1,4:28:35.520000,16115.5200,410330,Dean Marriott [Team Vegan],Team Vegan Spinach,
Bruno Riollet,c,1,4:29:36.568000,16176.5680,1534082,B runo Riollet (F),Green Machine,
Craig Christie ,c,1,4:30:30.704000,16230.7040,130703,Craig  Christie \u26a1\ufe0fBRT  Badger,BRT,
Darrin Cook,c,1,4:32:11.748000,16331.7480,2509064,Darrin Cook [Vegan Crocodiles],Team Vegan Crocodiles,
David Swan,c,1,4:32:21.188000,16341.1880,246094,David  Swan \u26a1[BRT] C TC,BRT,
Ruth Breeze,c,2,4:32:24.389000,16344.3890,1406512,Ruth Breeze (TT1) ,Team Type 1,
Stuart Cox,c,1,4:33:08.192000,16388.1920,25377,Stuart Cox (v) [Team Vegan],Team Vegan Spinach,
Niccolò Martinoli,c,1,4:33:38.960000,16418.9600,1354660,Niccol\xf2 Martinoli (C) [ITA],Team ITALY,
Dario Finatti,c,1,4:34:18.003000,16458.0030,844179,Dario Finatti (ITA),Team ITALY,
DarrinG,c,1,4:35:09.071000,16509.0710,68443,Darrin Grace,Green Machine,
Tim Mennell,c,1,4:35:21.465000,16521.4650,2610238,Tim Mennell (TFC),TFC,
John Bamford,c,1,4:35:27.133000,16527.1330,456955,John  John Bamford (ART Neon),ART Neutrons,
Marko Niederheide,c,1,4:36:13.932000,16573.9320,601425,M arko [Team Vegan],Team Vegan Spinach,
Jose Descoteaux,c,1,4:36:35.062000,16595.0620,664787,Jose Descoteaux,Green Machine,
Val Cummings,c,2,4:36:59.341000,16619.3410,2990367,Val Cummings \u24cb [Team Vegan / EFT],Team Vegan Crocodiles,
Cath Walls,c,2,4:37:11.577000,16631.5770,2956232,Cath Walls [TEAM VEGAN] ,Team Vegan Crocodiles,
Michelle Gates,c,2,4:37:27.191000,16647.1910,1375409,Michelle Gates \u24cb [TEAM VEGAN],Team Vegan Spinach,
Nadezda Polakova,c,2,4:38:35.173000,16715.1730,189794,Nada 78\U0001f331 [Team Vegan],Team Vegan Coconuts,
John Bragg,c,1,4:43:45.815000,17025.8150,2646918,John Bragg [Team Vegan],Team Vegan Spinach,
Ben Weeding,c,1,4:45:30.119000,17130.1190,223663,Ben Weeding (ART Isotopes) ,ART Isotopes,
Jo Fleming,c,2,4:51:25.543000,17485.5430,490655,Jo Fleming (WLRCC) [Team Vegan],Team Vegan Spinach,
Lee Gale,c,1,4:52:02.560000,17522.5600,1830608,Lee  Gale (ART Carbon),ART Isotopes,
Derren Craddock,c,1,4:56:38.260000,17798.2600,541028,Zed  Sprocket,Green Machine,
Rudi peters,c,1,4:56:50.495000,17810.4950,2682294,Rudi Peters (OTR Force),On the Rivet,
Steve Lytollis,c,1,5:01:37.041000,18097.0410,1358214,Steve Lytollis (ART Photons),ART Isotopes,
Cheryl Muldoon,c,2,5:05:01.916000,18301.9160,113057,Cheryl Muldoon,Team Vegan Spinach,
Felicity Caddick,c,2,5:17:30.034000,19050.0340,1955420,F Caddick (S4W Zoot Tri),Socks4Watts,
