registered_name,category,gender,display_race_time,race_time,zwid,zp_name,team,subteam
Chantale Bouchard,c,2,4:21:15.006000,15675.0060,224992,  Chalou[Team Vegan] ,Team Vegan Crocodiles,
Morgan Bennett,c,2,4:26:53.954000,16013.9540,1665071,Morgan Bennett [Vegan Coconuts],Team Vegan Coconuts,
Nadezda Polakova,c,2,4:38:35.173000,16715.1730,189794,Nada 78\U0001f331 [Team Vegan],Team Vegan Coconuts,
Michelle Gates,c,2,4:37:27.191000,16647.1910,1375409,Michelle Gates \u24cb [TEAM VEGAN],Team Vegan Spinach,
Ruth Breeze,c,2,4:32:24.389000,16344.3890,1406512,Ruth Breeze (TT1) ,Team Type 1,
Val Cummings,c,2,4:36:59.341000,16619.3410,2990367,Val Cummings \u24cb [Team Vegan / EFT],Team Vegan Crocodiles,
Cath Walls,c,2,4:37:11.577000,16631.5770,2956232,Cath Walls [TEAM VEGAN] ,Team Vegan Crocodiles,
Jo Fleming,c,2,4:51:25.543000,17485.5430,490655,Jo Fleming (WLRCC) [Team Vegan],Team Vegan Spinach,
Felicity Caddick,c,2,5:17:30.034000,19050.0340,1955420,F Caddick (S4W Zoot Tri),Socks4Watts,
Cheryl Muldoon,c,2,5:05:01.916000,18301.9160,113057,Cheryl Muldoon,Team Vegan Spinach,
