registered_name,category,gender,display_race_time,race_time,zwid,zp_name,team,subteam
Jimbo V,d,1,3:06:46.250000,11206.2500,3297493,Jimbo imbo (TFC),TFC,
Nathan Tully,d,1,3:15:08.812000,11708.8120,2757731,Nathan Tully (SDW Youth),SDW Youth,
Andrew Hayton,d,1,3:15:11.244000,11711.2440,509608,Andrew Hayton (ART Fusion),ART Fusion,
Ladean Unser,d,2,3:15:11.946000,11711.9460,86000,Ladean Unser(DD2),WTRL,Drafting Dinos
Henry Bottoms,d,1,3:16:12.086000,11772.0860,3199370,Henry Bottoms (SDW YOUTH),SDW Youth,
Dorothy Gibson,d,2,3:21:10.294000,12070.2940,143477,dorothy ottie g [WTRL](DraftingDinosUK1),WTRL,Drafting Dinos
Mark Kassels,d,1,3:21:27.073000,12087.0730,1554576,Mark Kassels(TT1 Humalogs)9115,Green Machine,
Mary Swindles,d,2,3:22:47.051000,12167.0510,1140029,Mary     Swindles (ART Fusion),ART Fusion,
Pierre-Alexandre TARRIEU,d,1,3:28:51.734000,12531.7340,3314041,Pierre-Alexandre Tarrieu,Green Machine,
Tim Coppens,d,1,3:28:58.515000,12538.5150,2139446,Tim Coppens\U0001f331 [Team Vegan],Green Machine,
Leo Hughes,d,1,3:30:01.489000,12601.4890,2403581,Leo Hughes [SDW] Youth,SDW Youth,
Dominic Shotton,d,1,3:30:22.565000,12622.5650,1586007,Dominic Shotton (ART Fusion),ART Fusion,
Amy Morris,d,2,3:33:46.055000,12826.0550,2733583,Amy Morris23 [WTRL] (DD1),WTRL,Drafting Dinos
Sam Brooker,d,1,3:37:14.557000,13034.5570,2470984,Sam Brooker (TT1 Hypers) ,Team Type 1,
Jen Collins,d,2,3:38:20.999000,13100.9990,2547684,Jen Collins[VeganFireflies],Team Vegan Fireflies,
Hilda van der Veen,d,2,3:40:02.883000,13202.8830,1058200,Dalih [Team Vegan],Team Vegan Fireflies,
Ellen Van Eeckhout,d,2,3:47:52.511000,13672.5110,2836546,Ellen Van Eeckhout [Team Vegan],Green Machine,
Gary Laverick,d,1,3:49:28.261000,13768.2610,2566486,Gary Laverick [Team Vegan],Team Vegan Dolphins,
Ryan Biegen,d,1,3:53:04.999000,13984.9990,2952708,Ryan Biegen TT1D (TT1 Gluconauts),Team Type 1,
Niene Niene ,d,2,4:09:57.525000,14997.5250,1464527,Niene Niene ,KIRCHMAIR e-Cycling,
Mickey Murphy,d,1,4:12:31.566000,15151.5660,2964116,Mickey Murphy,Green Machine,
