registered_name,gender,time,zwid,zp_name,points
Patrick Harvey,1,1594.7010000000000218278728425502777099609375,88086,Patch  Harvey [ BRT ],20
Jamie Watson,1,1595.151000000000067302607931196689605712890625,448811,Jamie Watson (BRT) ,15
Philip Sudworth,1,1595.520999999999958163243718445301055908203125,314508,Philip Sudworth (TFC),10
Warren Honey,1,1595.988000000000056388671509921550750732421875,1059788,Warren Honey \u26a1\ufe0f\U0001f9a1 \U0001f9f9(BRT Badgers),8
Jason Feltus,1,1597.34999999999990905052982270717620849609375,91269,Jason Feltus Race 3R (1),6
Yann Gauthier,1,1597.9420000000000072759576141834259033203125,2165224,Yann Gauthier,5
Craig Gritzen,1,1598.125999999999976353137753903865814208984375,527678,C raig [VEGAN Crocodiles]\u270a\U0001f3fc,4
Dean Hardie,1,1601.60500000000001818989403545856475830078125,96086,Dean Hardie (TFC),3
Dean Marriott,1,1601.93499999999994543031789362430572509765625,410330,Dean Marriott [Team Vegan],2
Guy Vandersmissen,1,1604.2860000000000582076609134674072265625,980133,Guy Vdsmis (TFC),1
