registered_name,category,gender,display_race_time,race_time,time_diff,zwid,zp_name,team,subteam
Adam C.,a,1,0:23:11.280000,1391.279999999999972715158946812152862548828125,0:00:00,70177,. ~ Cycopath ~ (Team Vegan),Team Vegan Antelopes,
Chris Smart,a,1,0:23:11.432000,1391.432000000000016370904631912708282470703125,0:00:00.152000,1157845,GTR  GRINGO [nopinzR3R],NOPINZ R3R,
Oliver Milk,a,1,0:23:11.439000,1391.439000000000078216544352471828460693359375,0:00:00.159000,50486,Oliver Milk [BRT],BRT,
Alex TenElshof,a,1,0:23:11.504000,1391.5039999999999054125510156154632568359375,0:00:00.224000,485822,Alex TenElshof [Finesse],Finesse Rockets,
Zach Harner,a,1,0:23:11.670000,1391.670000000000072759576141834259033203125,0:00:00.390000,800272,Zach Harner [NOPINZR3R],NOPINZ R3R,
Peter West,a,1,0:23:11.696000,1391.69599999999991268850862979888916015625,0:00:00.416000,456595,Peter West (R3R Dev),R3R Dev Black Eyed Peas,
Joseph Chudyk,a,1,0:23:11.712000,1391.71199999999998908606357872486114501953125,0:00:00.432000,2568352,Joseph Chudyk [Finesse],Finesse Rockets,
Hans-Georg Becker,a,1,0:23:11.808000,1391.8079999999999927240423858165740966796875,0:00:00.528000,1765,H G.B.(Team Vegan)\U0001f43e,Team Vegan Alpacas,
Hywel Davies,a,1,0:23:11.852000,1391.852000000000089130480773746967315673828125,0:00:00.572000,1119043,Hywel  Davies [BRT],BRT,
Robert McEwan,a,1,0:23:12.374000,1392.374000000000023646862246096134185791015625,0:00:01.094000,619770,Robert McEwan (TFC Typhoon),TFC,
Nick Hird,a,1,0:23:12.399000,1392.39899999999988722265698015689849853515625,0:00:01.119000,54593,Nick Hird [CRYO RDT],CRYO-GEN,
Alex rockwell,a,1,0:23:13.152000,1393.152000000000043655745685100555419921875,0:00:01.872000,960543,Alex  Rockwell [LEQP],LEQP,
Sergio Martin Amat,a,1,0:23:13.325000,1393.325000000000045474735088646411895751953125,0:00:02.045000,600734,  Sergio A. (Purple Train),Purple Train,
Leon O'Regan,a,1,0:23:13.344000,1393.3440000000000509317032992839813232421875,0:00:02.064000,397219,Leon O'Regan (TFC),TFC,
Duncan Johnson,a,1,0:23:13.500000,1393.5,0:00:02.220000,2124922,D. uncan (OTR),On The Rivet,
Olivier Symoens,a,1,0:23:13.844000,1393.8440000000000509317032992839813232421875,0:00:02.564000,1515010,Olivier Symoens [VCRT],Sportsolid,
Bart Nowaczek,a,1,0:23:14.336000,1394.336000000000012732925824820995330810546875,0:00:03.056000,358286,Bartosz Nowaczek,Team Vegan Alpacas,Alpacas/Vipers
Mike Sarnecki,a,1,0:23:14.597000,1394.596999999999979991116560995578765869140625,0:00:03.317000,6627,Mike Sarnecki [iGregari],iGregari,
Maximiliaan Meester,a,1,0:23:15.335000,1395.3350000000000363797880709171295166015625,0:00:04.055000,1550522,Maximiliaan Meester [Coalition],Canyon Coalition,
Antti Vale,a,1,0:23:16.457000,1396.457000000000107320374809205532073974609375,0:00:05.177000,195687,Antti Valve (FZR),FZR,
Tim Elskens,a,1,0:23:17.043000,1397.042999999999892679625190794467926025390625,0:00:05.763000,861277,Tim Elskens [SPSD],Sportsolid,
Wells Willett,a,1,0:23:17.277000,1397.277000000000043655745685100555419921875,0:00:05.997000,1927805,Wells Willett [Team Vegan],Team Vegan Antelopes,
Jono Martin,a,1,0:23:17.399000,1397.39899999999988722265698015689849853515625,0:00:06.119000,593346,Jono Martin (R3R Dev),R3R Dev Black Eyed Peas,
Richard Woods,a,1,0:23:59.366000,1439.365999999999985448084771633148193359375,0:00:48.086000,436956,Richard Woods \u24cb [Team Vegan],Team Vegan Antelopes,
Chris Pocock,a,1,0:24:13.032000,1453.031999999999925421434454619884490966796875,0:01:01.752000,419070,Chris Pocock (Socks4Watts),Socks4Watts,
Steve Farries,a,1,0:24:15.041000,1455.040999999999939973349682986736297607421875,0:01:03.761000,44881,Steve Farries [Team Vegan Antelopes,Team Vegan Antelopes,
Scott Gleason,a,1,0:24:26.331000,1466.330999999999903593561612069606781005859375,0:01:15.051000,429529,Scott Gleason [nopinzR3R],NOPINZ R3R,
Adam Schwengler,a,1,0:24:26.541000,1466.540999999999939973349682986736297607421875,0:01:15.261000,177457,Adam Schwengler (Vegan),Team Vegan Antelopes,
Steven Brierley,a,1,0:24:27.351000,1467.35100000000011277734301984310150146484375,0:01:16.071000,43160,Steven Brierley [nopinzR3R],NOPINZ R3R,
Joel Chidley,a,1,0:24:27.381000,1467.381000000000085492501966655254364013671875,0:01:16.101000,2366199,Joel Chidley (R3R Dev),R3R Dev Red Hot Chilli Peppers,
Simon Hale,a,1,0:24:27.486000,1467.486000000000103682396002113819122314453125,0:01:16.206000,308195,Simon Hale (ART Nuclear),ART Nuclear,
Ben Gamsa,a,1,0:24:27.948000,1467.948000000000092768459580838680267333984375,0:01:16.668000,4762,Ben Gamsa (R3R Dev),R3R Dev Red Hot Chilli Peppers,
Roland Bösche,a,1,0:24:28.071000,1468.07099999999991268850862979888916015625,0:01:16.791000,479525,Rolins Neverstop \U0001f331 [Team Vegan],Green Machine,
Colin Saunders,a,1,0:24:28.213000,1468.212999999999965439201332628726959228515625,0:01:16.933000,798491,Colin Saunders (OTR),On the Rivet,
Luis Pinheiro,a,1,0:24:28.543000,1468.542999999999892679625190794467926025390625,0:01:17.263000,510474,Luis Pinheiro (R3R Dev),R3R Dev Red Hot Chilli Peppers,
Alice Lethbridge,a,1,0:24:28.563000,1468.563000000000101863406598567962646484375,0:01:17.283000,1931219,Alice Lethbridge ,Socks4Watts,
Luís Medeiros Pereira,a,1,0:24:28.924000,1468.9239999999999781721271574497222900390625,0:01:17.644000,270869,Luis Medeiros [Vegan Alpacas] ,Team Vegan Alpacas,
Michael Pattinson,a,1,0:24:28.946000,1468.94599999999991268850862979888916015625,0:01:17.666000,152708,M(ichael) P. (R3R DEV),R3R Dev Red Hot Chilli Peppers,
Antonio Gatto,a,1,0:24:28.980000,1468.98000000000001818989403545856475830078125,0:01:17.700000,1107220,A. Gatto \u24cb  [Team Vegan],Team Vegan Alpacas,
Andy Kempe,a,1,0:24:29.011000,1469.01099999999996725819073617458343505859375,0:01:17.731000,1678661,Andy Kempe (COALITION),Canyon Coalition,
