registered_name,time,zwid,zp_name,points
Adam C.,130.246,70177,~ Cycopath ~ (Team Vegan) ,0
Peter West,130.461,456595,Peter West (R3R Dev),0
Zach Harner,130.511,800272,Zach Harner (Nopinz R3R),0
Alex TenElshof,130.585,485822,Alex TenElshof &#127755; (Finesse),0
Chris Smart,130.637,1157845,CHRIS SMART (Nopinz R3R),0
Oliver Milk,130.679,50486,Oliver Milk,0
Joseph Chudyk,130.684,2568352,Joseph Chudyk (Finesse),0
Hans-Georg Becker,130.722,1765,H-G Becker (VZT) &#128062;,0
Hywel Davies,130.865,1119043,Hywel Davies (BRT),0
Robert McEwan,130.921,619770,Robert McEwan (TFC Typhoon),0
