registered_name,time,zwid,zp_name,points
Craig Christie ,15.838,130703,Craig Christie  (BRT Badgers),12
David hill,16.16,964610,david hill (TFC Lancaster),10
Philip Sudworth,16.829,314508,Philip Sudworth (TFC),8
Tim Mennell,17.782,2610238,Tim Mennell (TFC Wellington),7
Niccolò Martinoli,17.957,1354660,1616 Niccol&ograve; Martinoli (Team Italy),6
Alessandro Gabrieli,18.671,2846874,Alessandro Gabrieli (Team Italy 3),5
Jason Feltus,18.677,91269,Jason Feltus&#128057; (CWkgCC),4
Marko Niederheide,18.686,601425,Marko Niederheide (Vegan Spinach),3
Ines Pfeilmeier,18.716,1604473,I KP (Vegan Bees),2
Patrick Harvey,18.822,88086,Patch Harvey (BRT Badgers),1
