registered_name,gender,elapsed,zwid,name,team,subteam
Ollie Fussell,1,164.294,1976644,Ollie Fussell (SDW YOUTH),SDW Youth,
Jimbo V,1,167.016,3297493,Jimbo Viny (TFC),TFC,
Jimbo V,1,167.203,3297493,Jimbo Viny (TFC),TFC,
Ollie Fussell,1,167.277,1976644,Ollie Fussell (SDW YOUTH),SDW Youth,
Kent Smith,1,168.777,919918,Kent Smith (TT1),Team Type 1,
Christopher Price,1,169.22,189331,Christopher Price (TT1 Hypers),Team Type 1,
Cefn O'Ryan,1,169.299,740252,Cefn O&rsquo;Ryan (ART),ART Fusion,
Kent Smith,1,169.338,919918,Kent Smith (TT1),Team Type 1,
Linny O'Rourke,2,171.907,478016,Linny O&#039;Rourke [ART Zwifterions],ART Fusion,
Mary Swindles,2,171.999,1140029,Mary Swindles (AHDRL Degenerates),ART Fusion,
David Nielsen,1,173.88,2773311,. Ya Boyee! [Team Vegan],Team Vegan Dolphins,
Tim Coppens,1,174.332,2139446,Tim Coppens&#127793; [Team Vegan],Green Machine,
