registered_name,gender,elapsed,zwid,name,team,subteam
Cefn O'Ryan,1,18.202,740252,Cefn O&rsquo;Ryan (ART),ART Fusion,
Cefn O'Ryan,1,18.601,740252,Cefn O&rsquo;Ryan (ART),ART Fusion,
Jimbo V,1,18.653,3297493,Jimbo Viny (TFC),TFC,
Cefn O'Ryan,1,18.944,740252,Cefn O&rsquo;Ryan (ART),ART Fusion,
Ryan Biegen,1,19.112,2952708,Ryan Biegen TT1D (TT1 Gluconauts),Team Type 1,
Ryan Biegen,1,19.401,2952708,Ryan Biegen TT1D (TT1 Gluconauts),Team Type 1,
Jimbo V,1,19.685,3297493,Jimbo Viny (TFC),TFC,
Ollie Fussell,1,19.974,1976644,Ollie Fussell (SDW YOUTH),SDW Youth,
Ollie Fussell,1,20.107,1976644,Ollie Fussell (SDW YOUTH),SDW Youth,
Jimbo V,1,20.437,3297493,Jimbo Viny (TFC),TFC,
David Nielsen,1,20.837,2773311,. Ya Boyee! [Team Vegan],Team Vegan Dolphins,
Ollie Fussell,1,20.908,1976644,Ollie Fussell (SDW YOUTH),SDW Youth,
Jason Watts,1,20.977,983355,Jason Watts &#9419; (Vegan CocoNuts),Team Vegan Dolphins,
Linny O'Rourke,2,21.036,478016,Linny O&#039;Rourke [ART Zwifterions],ART Fusion,
David Nielsen,1,21.071,2773311,. Ya Boyee! [Team Vegan],Team Vegan Dolphins,
Jimbo V,1,21.093,3297493,Jimbo Viny (TFC),TFC,
Tim Coppens,1,21.174,2139446,Tim Coppens&#127793; [Team Vegan],Green Machine,
David Nielsen,1,21.206,2773311,. Ya Boyee! [Team Vegan],Team Vegan Dolphins,
Cefn O'Ryan,1,21.335,740252,Cefn O&rsquo;Ryan (ART),ART Fusion,
David Nielsen,1,21.371,2773311,. Ya Boyee! [Team Vegan],Team Vegan Dolphins,
Ollie Fussell,1,21.508,1976644,Ollie Fussell (SDW YOUTH),SDW Youth,
Christopher Price,1,21.573,189331,Christopher Price (TT1 Hypers),Team Type 1,
Kent Smith,1,21.597,919918,Kent Smith (TT1),Team Type 1,
Ollie Fussell,1,21.609,1976644,Ollie Fussell (SDW YOUTH),SDW Youth,
Ollie Fussell,1,21.724,1976644,Ollie Fussell (SDW YOUTH),SDW Youth,
Christopher Price,1,21.772,189331,Christopher Price (TT1 Hypers),Team Type 1,
Gary Laverick,1,21.931,2566486,Gary Laverick,Team Vegan Dolphins,
Jenny Flanagan,2,21.931,2048174,Jenny Flanagan&#127793;(Vegan Dolphins),Team Vegan Fireflies,
Jimbo V,1,22.004,3297493,Jimbo Viny (TFC),TFC,
David Nielsen,1,22.017,2773311,. Ya Boyee! [Team Vegan],Team Vegan Dolphins,
