registered_name,gender,elapsed,zwid,name,team,subteam
Adam C.,1,13.173,70177,~ Cycopath ~ (Team Vegan) ,Team Vegan Antelopes,
Erik Haugen,1,13.601,885598,Erik Haugen (R3R Nopinz),NOPINZ R3R,
Tim Elskens,1,13.638,861277,Tim Elskens (SPSD),Sportsolid,
Oliver Milk,1,13.712,50486,Oliver Milk,BRT,
Antti Vale,1,13.762,195687,Antti Valve (FZR),FZR,
Hywel Davies,1,13.771,1119043,Hywel Davies (BRT),BRT,
Duncan Johnson,1,14.092,2124922,Duncan Johnson (OTR),On The Rivet,
Robert McEwan,1,14.119,619770,Robert McEwan (TFC Typhoon),TFC,
Alex TenElshof,1,14.326,485822,Alex TenElshof (Finesse) ,Finesse Rockets,
Hans-Georg Becker,1,14.534,1765,H-G Becker (VZT) &#128062;,Team Vegan Alpacas,
