registered_name,gender,elapsed,zwid,name,team,subteam
Oliver Milk,1,20.243,50486,Oliver Milk,BRT,
Nick Hird,1,20.675,54593,Nick Hird (CRYO RDT Men),CRYO-GEN,
Hywel Davies,1,20.967,1119043,Hywel Davies (BRT),BRT,
Olivier Symoens,1,21.177,1515010,Olivier Symoens,Sportsolid,
Leon O'Regan,1,21.211,397219,Leon O&#039;Regan (TFC Typhoon),TFC,
Robert McEwan,1,21.763,619770,Robert McEwan (TFC Typhoon),TFC,
Neil Turner,1,22.047,1360468,Neil Turner (R3R ACDC),Race3R,
Colin Saunders,1,22.648,798491,Colin Saunders (OTR RUSH),On the Rivet,
Duncan Johnson,1,22.653,2124922,Duncan Johnson (OTR),On The Rivet,
Pete Brookes,1,22.655,1012404,Pete Brookes (ART Nuclear),ART Nuclear,
