registered_name,gender,elapsed,zwid,name,team,subteam
Alan Hugill,1,14.477,285500,Alan Hugill  (R3R THUNDER),Race3R,
Nikolaj Therkelsen,1,14.515,150173,Nikolaj Therkelsen (Vegan Bobcats),Team Vegan Bobcats,
Rob Valdes,1,15.38,2694010,Rob Valdes (Islington Cycling Club B),Islington Cycling Club,
Carlos Marin,1,15.674,2533741,Carlos Marin (Vegan Bobcats),Team Vegan Barracudas,
Derek Mcintire,1,15.743,955953,Derek McIntire &#9419; (Vegan Arrows),Team Vegan Barracudas,
Karel Smeets,1,15.965,1402075,Karel Smeets (Vegan Badgers),Team Vegan Badgers,
Daniel unt,1,15.97,182368,Daniel Hunt (LEQP Hunters),LEQP,
Jeff Weinert,1,16.215,6555,jeff weinert (Base Media Racing),Base Media Racing,
Neil Hodgson,1,16.233,7520,Neil Hodgson (OTR) ,On the Rivet,
James Eastwood,1,16.307,353326,James Eastwood (Socks4Watts #AeroAF),Socks4Watts,
