registered_name,time,zwid,zp_name,points
Cefn O'Ryan,14.201,740252,Cefn O&rsquo;Ryan (ART Fusion),20
Leo Hughes,15.052,2403581,Leo Hughes [SDW] Youth,15
Jason Watts,15.189,983355,Jason Watts &#9419; (Vegan CocoNuts),10
Christopher Price,15.249,189331,Christopher Price (TT1 Hypers),8
Tim Coppens,15.528,2139446,Tim Coppens&#127793; [Team Vegan],6
Mary Swindles,15.923,1140029,Mary Swindles (ART Fusion),5
Amy Morris,16.013,2733583,Amy Morris23 [WTRL] (DraftingDinos1),4
Nathan Tully,16.168,2757731,Nathan Tully (SDW Youth),3
Naomi Bright,16.299,2885796,Naomi Bright (Vegan Fireflies) ,2
Mark Kassels,16.336,1554576,Mark Kassels(TT1 Humalogs)9115,1
