registered_name,gender,elapsed,zwid,name,team,subteam
Ryan Biegen,1,41.873,2952708,Ryan Biegen TT1D (TT1 Gluconauts),Team Type 1,
Nathan Tully,1,43.901,2757731,Nathan Tully (SDW Youth),SDW Youth,
Jimbo V,1,44.56,3297493,Jimbo Viny (TFC),TFC,
Jason Watts,1,45.734,983355,Jason Watts &#9419; (Vegan CocoNuts),Team Vegan Dolphins,
Henry Bottoms,1,48.697,3199370,Henry Bottoms (SDW YOUTH),SDW Youth,
Nathan Tully,1,49.14,2757731,Nathan Tully (SDW Youth),SDW Youth,
Cefn O'Ryan,1,50.705,740252,Cefn O&rsquo;Ryan (ART),ART Fusion,
Leo Hughes,1,51.822,2403581,Leo Hughes (SDW Youth),SDW Youth,
Jimbo V,1,52.119,3297493,Jimbo Viny (TFC),TFC,
Cefn O'Ryan,1,52.938,740252,Cefn O&rsquo;Ryan (ART),ART Fusion,
Pierre-Alexandre TARRIEU,1,53.578,3314041,Pierre-Alexandre Tarrieu,Green Machine,
