registered_name,category,gender,race_time,time_diff,zid,zp_name,team,subteam
Adam C.,a,1,0:23:11.280000,0:00:00,70177,. ~ Cycopath ~ (Team Vegan),Team Vegan Antelopes,
Chris Smart,a,1,0:23:11.432000,0:00:00.152000,1157845,GTR  GRINGO [nopinzR3R],NOPINZ R3R,
Oliver Milk,a,1,0:23:11.439000,0:00:00.159000,50486,Oliver Milk [BRT],BRT,
Alex TenElshof,a,1,0:23:11.504000,0:00:00.224000,485822,Alex TenElshof [Finesse],Finesse Rockets,
Zach Harner,a,1,0:23:11.670000,0:00:00.390000,800272,Zach Harner [NOPINZR3R],NOPINZ R3R,
Peter West,a,1,0:23:11.696000,0:00:00.416000,456595,Peter West (R3R Dev),R3R Dev Black Eyed Peas,
Joseph Chudyk,a,1,0:23:11.712000,0:00:00.432000,2568352,Joseph Chudyk [Finesse],Finesse Rockets,
Hans-Georg Becker,a,1,0:23:11.808000,0:00:00.528000,1765,H G.B.(Team Vegan)\ud83d\udc3e,Team Vegan Alpacas,
Hywel Davies,a,1,0:23:11.852000,0:00:00.572000,1119043,Hywel  Davies [BRT],BRT,
Robert McEwan,a,1,0:23:12.374000,0:00:01.094000,619770,Robert McEwan (TFC Typhoon),TFC,
Nick Hird,a,1,0:23:12.399000,0:00:01.119000,54593,Nick Hird [CRYO RDT],CRYO-GEN,
Alex rockwell,a,1,0:23:13.152000,0:00:01.872000,960543,Alex  Rockwell [LEQP],LEQP,
Sergio Martin Amat,a,1,0:23:13.325000,0:00:02.045000,600734,  Sergio A. (Purple Train),Purple Train,
Leon O'Regan,a,1,0:23:13.344000,0:00:02.064000,397219,Leon O'Regan (TFC),TFC,
Duncan Johnson,a,1,0:23:13.500000,0:00:02.220000,2124922,D. uncan (OTR),On The Rivet,
Olivier Symoens,a,1,0:23:13.844000,0:00:02.564000,1515010,Olivier Symoens [VCRT],Sportsolid,
Bart Nowaczek,a,1,0:23:14.336000,0:00:03.056000,358286,Bartosz Nowaczek,Team Vegan Alpacas,Alpacas/Vipers
Mike Sarnecki,a,1,0:23:14.597000,0:00:03.317000,6627,Mike Sarnecki [iGregari],iGregari,
Maximiliaan Meester,a,1,0:23:15.335000,0:00:04.055000,1550522,Maximiliaan Meester [Coalition],Canyon Coalition,
Antti Vale,a,1,0:23:16.457000,0:00:05.177000,195687,Antti Valve (FZR),FZR,
Tim Elskens,a,1,0:23:17.043000,0:00:05.763000,861277,Tim Elskens [SPSD],Sportsolid,
Wells Willett,a,1,0:23:17.277000,0:00:05.997000,1927805,Wells Willett [Team Vegan],Team Vegan Antelopes,
Jono Martin,a,1,0:23:17.399000,0:00:06.119000,593346,Jono Martin (R3R Dev),R3R Dev Black Eyed Peas,
Richard Woods,a,1,0:23:59.366000,0:00:48.086000,436956,Richard Woods \u24cb [Team Vegan],Team Vegan Antelopes,
Chris Pocock,a,1,0:24:13.032000,0:01:01.752000,419070,Chris Pocock (Socks4Watts),Socks4Watts,
Steve Farries,a,1,0:24:15.041000,0:01:03.761000,44881,Steve Farries [Team Vegan Antelopes,Team Vegan Antelopes,
Scott Gleason,a,1,0:24:26.331000,0:01:15.051000,429529,Scott Gleason [nopinzR3R],NOPINZ R3R,
Adam Schwengler,a,1,0:24:26.541000,0:01:15.261000,177457,Adam Schwengler (Vegan),Team Vegan Antelopes,
Steven Brierley,a,1,0:24:27.351000,0:01:16.071000,43160,Steven Brierley [nopinzR3R],NOPINZ R3R,
Joel Chidley,a,1,0:24:27.381000,0:01:16.101000,2366199,Joel Chidley (R3R Dev),R3R Dev Red Hot Chilli Peppers,
Simon Hale,a,1,0:24:27.486000,0:01:16.206000,308195,Simon Hale (ART Nuclear),ART Nuclear,
Ben Gamsa,a,1,0:24:27.948000,0:01:16.668000,4762,Ben Gamsa (R3R Dev),R3R Dev Red Hot Chilli Peppers,
Roland Bösche,a,1,0:24:28.071000,0:01:16.791000,479525,Rolins Neverstop \ud83c\udf31 [Team Vegan],Green Machine,
Colin Saunders,a,1,0:24:28.213000,0:01:16.933000,798491,Colin Saunders (OTR),On the Rivet,
Luis Pinheiro,a,1,0:24:28.543000,0:01:17.263000,510474,Luis Pinheiro (R3R Dev),R3R Dev Red Hot Chilli Peppers,
