registered_name,category,gender,race_time,time_diff,zid,zp_name,team,subteam
Jimbo V,d,1,0:29:36.219000,0:00:00,3297493,Jimbo imbo (TFC),TFC,
Ollie Fussell,d,1,0:29:36.447000,0:00:00.228000,1976644, Ollie Fussell (SDW Youth),SDW Youth,
Kent Smith,d,1,0:29:37.705000,0:00:01.486000,919918,Kent Smith (TT1F),Team Type 1,
David Nielsen,d,1,0:29:54.743000,0:00:18.524000,2773311,. Ya Boyee! [Team Vegan],Team Vegan Dolphins,
Cefn O'Ryan,d,1,0:30:00.659000,0:00:24.440000,740252,Cefn O\u2019Ryan (ART Fusion) ,ART Fusion,
Christopher Price,d,1,0:30:31.501000,0:00:55.282000,189331,Christopher Price (TT1 Hypers),Team Type 1,
Mark Kassels,d,1,0:30:31.962000,0:00:55.743000,1554576,Mark Kassels(TT1D  the Ketones)9115,Green Machine,
Jason Watts,d,1,0:30:40.214000,0:01:03.995000,983355,Jason Watts \u24cb [Team Vegan] CocoNuts,Team Vegan Dolphins,
Tim Coppens,d,1,0:30:40.756000,0:01:04.537000,2139446,Tim Coppens\ud83c\udf31 [Team Vegan],Green Machine,
Mary Swindles,d,2,0:31:23.465000,0:01:47.246000,1140029,Mary     Swindles (ART Fusion),ART Fusion,
Ladean Unser,d,2,0:31:24.024000,0:01:47.805000,86000,Ladean Unser(DD2),WTRL,Drafting Dinos
Linny O'Rourke,d,2,0:31:37.270000,0:02:01.051000,478016,Linny O'Rourke (ART Fusion),ART Fusion,
Andrew Hayton,d,1,0:31:38.390000,0:02:02.171000,509608,Andrew Hayton (ART Fusion),ART Fusion,
Dominic Shotton,d,1,0:31:38.626000,0:02:02.407000,1586007,Dominic Shotton (ART Fusion),ART Fusion,
Hilda van der Veen,d,2,0:31:47.510000,0:02:11.291000,1058200,Dalih [Team Vegan],Team Vegan Fireflies,
Jenny Flanagan,d,2,0:32:03.989000,0:02:27.770000,2048174,Jenny Flanagan \ud83c\udf31 \ud83e\uddd8\ud83c\udffc\u200d\u2640\ufe0f Team Vegan,Team Vegan Fireflies,
Steffi Köhler ,d,2,0:32:08.056000,0:02:31.837000,3096003,mookla tm [team vegan],Team Vegan Fireflies,
Nathan Tully,d,1,0:32:08.147000,0:02:31.928000,2757731,Nathan Tully (SDW Youth),SDW Youth,
Dorothy Gibson,d,2,0:32:09.924000,0:02:33.705000,143477,dorothy ottie g [WTRL] (DDUK),WTRL,Drafting Dinos
Gary Laverick,d,1,0:32:17.093000,0:02:40.874000,2566486,Gary Laverick [Team Vegan],Team Vegan Dolphins,
