registered_name,category,gender,display_race_time,race_time,time_diff,zwid,zp_name,team,subteam
Patrick Harvey,c,1,1:08:41.561000,4121.560999999999694409780204296112060546875,0:00:00,88086,Patch  Harvey [ BRT ],BRT,
Jason Feltus,c,1,1:09:14.208000,4154.2079999999996289261616766452789306640625,0:00:32.647000,91269,Jason Feltus Race3R ,Race3R,
Evelien Bunnik,c,2,1:09:37.616000,4177.615999999999985448084771633148193359375,0:00:56.055000,1421324,Evelien Bunnik [Vegan Crocodiles],Team Vegan Crocodiles,
Daniel Ongley,c,1,1:10:06.482000,4206.48199999999997089616954326629638671875,0:01:24.921000,2791237,Dan Ongley (ART Neutrons),ART Neutrons,
David hill,c,1,1:10:13.684000,4213.6840000000001964508555829524993896484375,0:01:32.123000,964610,david  hill TFC ,TFC,
Jamie Watson,c,1,1:10:24.272000,4224.2719999999999345163814723491668701171875,0:01:42.711000,448811,Jamie Watson (BRT Visma)   ,BRT,
Robert Moseley,c,1,1:10:51.616000,4251.615999999999985448084771633148193359375,0:02:10.055000,2863452,Rob Moseley (ART Isotopes),ART Isotopes,
Ines Pfeilmeier,c,2,1:11:13.043000,4273.042999999999665305949747562408447265625,0:02:31.482000,1604473,I KP [Team Vegan],Team Vegan Coconuts,
Cath Walls,c,2,1:11:25.251000,4285.25100000000020372681319713592529296875,0:02:43.690000,2956232,Cath Walls [TEAM VEGAN] ,Team Vegan Crocodiles,
Guy Vandersmissen,c,1,1:11:35.642000,4295.6419999999998253770172595977783203125,0:02:54.081000,980133,Guy Vdsmis (TFC),TFC,
James Wyatt,c,1,1:12:00.361000,4320.3609999999998763087205588817596435546875,0:03:18.800000,3244114,James Wyatt \u24cb [Team Vegan],Team Vegan Coconuts,
Liam Chell,c,1,1:12:00.569000,4320.5690000000004147295840084552764892578125,0:03:19.008000,2677607,Liam Chell (TFC),TFC,
Craig Gritzen,c,1,1:12:07.658000,4327.6580000000003565219230949878692626953125,0:03:26.097000,527678,C raig [Team Vegan]\u270a\U0001f3fc,Team Vegan Crocodiles,
Warren Honey,c,1,1:12:44.606000,4364.60599999999976716935634613037109375,0:04:03.045000,1059788,Warren Honey \u26a1\ufe0f\U0001f9a1 \U0001f9f9(BRT Badgers),BRT,
Nadezda Polakova,c,2,1:12:51.271000,4371.2709999999997307895682752132415771484375,0:04:09.710000,189794,Nada 78\U0001f331 [VEGAN],Team Vegan Coconuts,
Chantale Bouchard,c,2,1:13:10.529000,4390.529000000000451109372079372406005859375,0:04:28.968000,224992,  Chalou[Team Vegan] ,Team Vegan Crocodiles,
Donnie Macaulay,c,1,1:13:22.852000,4402.8519999999998617568053305149078369140625,0:04:41.291000,867097,Donnie Macaulay (ART Neutrons),ART Neutrons,
