registered_name,category,gender,display_race_time,race_time,time_diff,zwid,zp_name,team,subteam
Ollie Fussell,d,1,1:17:16.812000,4636.811999999999898136593401432037353515625,0:00:00,1976644, Ollie Fussell (SDW Youth),SDW Youth,
Henry Bottoms,d,1,1:19:07.190000,4747.1899999999995998223312199115753173828125,0:01:50.378000,3199370,Henry Bottoms (SDW YOUTH),SDW Youth,
Jimbo V,d,1,1:20:27.054000,4827.05400000000008731149137020111083984375,0:03:10.242000,3297493,Jimbo imbo (TFC),TFC,
Andrew Hayton,d,1,1:22:59.973000,4979.972999999999956344254314899444580078125,0:05:43.161000,509608,Andrew Hayton (ART Fusion),ART Fusion,
Nathan Tully,d,1,1:24:43.414000,5083.4139999999997598933987319469451904296875,0:07:26.602000,2757731,Nathan Tully (SDW Youth),SDW Youth,
Ladean Unser,d,2,1:25:25.079000,5125.078999999999723513610661029815673828125,0:08:08.267000,86000,Ladean Unser(DD2),WTRL,Drafting Dinos
Dorothy Gibson,d,2,1:25:40.392000,5140.3919999999998253770172595977783203125,0:08:23.580000,143477,dorothy ottie g [WTRL](DraftingDinosUK1),WTRL,Drafting Dinos
Pierre-Alexandre TARRIEU,d,1,1:27:00.440000,5220.4399999999995998223312199115753173828125,0:09:43.628000,3314041,Pierre-Alexandre Tarrieu,Green Machine,
Mary Swindles,d,2,1:28:04.192000,5284.1920000000000072759576141834259033203125,0:10:47.380000,1140029,Mary     Swindles (ART Fusion),ART Fusion,
Mark Kassels,d,1,1:28:16.520000,5296.52000000000043655745685100555419921875,0:10:59.708000,1554576,Mark Kassels(TT1 Humalogs)9115,Green Machine,
Dominic Shotton,d,1,1:29:27.636000,5367.636000000000422005541622638702392578125,0:12:10.824000,1586007,Dominic Shotton (ART Fusion),ART Fusion,
Naomi Bright,d,2,1:29:58.664000,5398.6639999999997598933987319469451904296875,0:12:41.852000,2885796,Naomi Bright [Team Vegan] ,Team Vegan Fireflies,
Linny O'Rourke,d,2,1:30:46.732000,5446.73199999999997089616954326629638671875,0:13:29.920000,478016,Linny O'Rourke (ART Fusion),ART Fusion,
Sam Brooker,d,1,1:32:04.588000,5524.58799999999973806552588939666748046875,0:14:47.776000,2470984,Sam Brooker (TT1 Hypers) ,Team Type 1,
Leo Hughes,d,1,1:32:43.777000,5563.777000000000043655745685100555419921875,0:15:26.965000,2403581,Leo Hughes [SDW] Youth,SDW Youth,
Jen Collins,d,2,1:34:04.504000,5644.5039999999999054125510156154632568359375,0:16:47.692000,2547684,Jen Collins[VeganFireflies],Team Vegan Fireflies,
Tim Coppens,d,1,1:35:08.737000,5708.7370000000000800355337560176849365234375,0:17:51.925000,2139446,Tim Coppens\U0001f331 [Team Vegan],Green Machine,
Amy Morris,d,2,1:36:52.511000,5812.511000000000422005541622638702392578125,0:19:35.699000,2733583,Amy Morris23 [WTRL] (DD1),WTRL,Drafting Dinos
Hilda van der Veen,d,2,1:38:42.417000,5922.4170000000003710738383233547210693359375,0:21:25.605000,1058200,Dalih [Team Vegan],Team Vegan Fireflies,
Ryan Biegen,d,1,1:40:17.606000,6017.60599999999976716935634613037109375,0:23:00.794000,2952708,Ryan Biegen TT1D (TT1 Gluconauts),Team Type 1,
Carolina Beidler,d,1,1:40:35.966000,6035.966000000000349245965480804443359375,0:23:19.154000,2209505,Lina Beidler\U0001f1e8\U0001f1f4[Team Vegan],Green Machine,
Fiona Thomson,d,2,1:44:29.832000,6269.832000000000334694050252437591552734375,0:27:13.020000,533788,Fiona Thomson (CMA),Green Machine,
Gary Laverick,d,1,1:45:15.292000,6315.2920000000003710738383233547210693359375,0:27:58.480000,2566486,Gary Laverick [Team Vegan],Team Vegan Dolphins,
Ellen Van Eeckhout,d,2,1:45:36.282000,6336.2820000000001527951098978519439697265625,0:28:19.470000,2836546,Ellen Van Eeckhout [Team Vegan],Green Machine,
Mickey Murphy,d,1,1:52:32.272000,6752.2719999999999345163814723491668701171875,0:35:15.460000,2964116,Mickey Murphy,Green Machine,
Niene Niene ,d,2,1:58:54.281000,7134.2809999999999490682967007160186767578125,0:41:37.469000,1464527,Niene Niene ,KIRCHMAIR e-Cycling,
Adrian Bach,d,1,2:06:47.985000,7607.9849999999996725819073617458343505859375,0:49:31.173000,2734726,Adrian Bach (ART FUSION),ART Fusion,
