registered_name,category,gender,display_race_time,race_time,time_diff,zwid,zp_name,team,subteam
john hughes,b,1,0:34:19.561000,2059.56100000000014915713109076023101806640625,0:00:00,1354923,John Hughes [Electricspirit.co]\xa0,Team Electricspirit.co,
Neil Hodgson,b,1,0:34:25.019000,2065.01899999999977808329276740550994873046875,0:00:05.458000,7520,Neil Hodgson (OTR),On the Rivet,
Ross Hetherington,b,1,0:34:41.295000,2081.295000000000072759576141834259033203125,0:00:21.734000,129517,Ross Hetherington Race3R \U0001f40c,Race3R,
Derek Mcintire,b,1,0:34:58.967000,2098.96700000000009822542779147624969482421875,0:00:39.406000,955953,Derek McIntire[Team Vegan] \u24cb,Team Vegan Barracudas,
Carl Krystek,b,1,0:35:15.537000,2115.53699999999980718712322413921356201171875,0:00:55.976000,609290,Carl Krystek [Team Vegan],Team Vegan Barracudas,
Martijn van der Vis,b,1,0:35:30.457000,2130.45699999999987994669936597347259521484375,0:01:10.896000,1452217,Martijn Van Der Vis [Team Vegan],Team Vegan Badgers,
Karel Smeets,b,1,0:35:31.726000,2131.72600000000011277734301984310150146484375,0:01:12.165000,1402075,Karel Smeets [Team Vegan],Team Vegan Badgers,
Daniel unt,b,1,0:35:34.152000,2134.152000000000043655745685100555419921875,0:01:14.591000,182368,Daniel Hunt | LEQP,LEQP,
Evan Flater,b,1,0:35:36.531000,2136.5309999999999490682967007160186767578125,0:01:16.970000,1063791,E Flater (OTR),On the Rivet,
James Cooper,b,1,0:35:40.126000,2140.12600000000020372681319713592529296875,0:01:20.565000,1299986,James Cooper \u24cb [Team Vegan],Team Vegan Badgers,
Tim Burdon,b,1,0:35:42.650000,2142.65000000000009094947017729282379150390625,0:01:23.089000,114936,Tim Burdon (Race 3R),Race3R,
Dean dingle,b,1,0:35:43.343000,2143.3429999999998472048901021480560302734375,0:01:23.782000,1373912,  Dean  (Race3R) ,Race3R,
Jonathan Jones,b,1,0:35:43.410000,2143.40999999999985448084771633148193359375,0:01:23.849000,972568,Jonathan Jones [TEAM VEGAN],Team Vegan Bobcats,
Jeremy Leal,b,1,0:35:52.231000,2152.23100000000022191670723259449005126953125,0:01:32.670000,2893659,Jeremy Leal (OTR OostB),On The Rivet,
Rob Valdes,b,1,0:36:06.102000,2166.1019999999998617568053305149078369140625,0:01:46.541000,2694010,Rob Valdes ICC,Islington Cycling Club,
Tobias Schmitt,b,1,0:36:09.807000,2169.8069999999997889972291886806488037109375,0:01:50.246000,1424719,Tobias Schmitt (COALITION),Canyon Coalition,
Joel Howard,b,1,0:36:10.320000,2170.32000000000016370904631912708282470703125,0:01:50.759000,1357971,Joel Howard STC [Team Vegan] ,Team Vegan Badgers,
Rob Lines,b,1,0:36:12.016000,2172.01600000000007639755494892597198486328125,0:01:52.455000,98667,R ob L (Tri-Anglia),Tri-Anglia,
Jane Geddes,b,2,0:36:16.908000,2176.90799999999990177457220852375030517578125,0:01:57.347000,1150516,Jane Geddes (Vegan Badgers),Team Vegan Badgers,
Ron Gallo,b,1,0:36:22.570000,2182.57000000000016370904631912708282470703125,0:02:03.009000,724812,Ron Gallo (OTR),On the Rivet,
Gary Cowlam,b,1,0:36:24.670000,2184.670000000000072759576141834259033203125,0:02:05.109000,169550,Gary Cowlam,WKG,
Daniel Rockliff,b,1,0:36:25.519000,2185.51899999999977808329276740550994873046875,0:02:05.958000,23601,Daniel Rockliff (TFC),TFC,
Daniel Dugal,b,1,0:36:25.636000,2185.63599999999996725819073617458343505859375,0:02:06.075000,460142,Daniel Dugal V [Team Vegan],Team Vegan Barracudas,
Darren Humphrey,b,1,0:36:26.431000,2186.43100000000004001776687800884246826171875,0:02:06.870000,2378415,Darren Humphrey [ECC] ,None,
Chris Tye,b,1,0:36:28.731000,2188.73100000000022191670723259449005126953125,0:02:09.170000,126339,Chris Tye (Herd),Herd,
Patrick Söller,b,1,0:36:33.650000,2193.65000000000009094947017729282379150390625,0:02:14.089000,1462344,Patrick S\xf6ller [Team Vegan],Team Vegan Bobcats,
Josh Nordell,b,1,0:36:36.731000,2196.73100000000022191670723259449005126953125,0:02:17.170000,1381321,Josh Nordell (TFC),TFC,
Ryan Ness,b,1,0:36:45.782000,2205.7820000000001527951098978519439697265625,0:02:26.221000,2858658,ryan NESS   (TFC),TFC,
David Akrigg,b,1,0:36:45.933000,2205.9329999999999927240423858165740966796875,0:02:26.372000,561201,Davy Ackers (Race3R),Race3r,
Nikolaj Therkelsen,b,1,0:37:03.756000,2223.75599999999985811882652342319488525390625,0:02:44.195000,150173,Nikolaj Therkelsen (Team Vegan),Team Vegan Bobcats,
