name,elapsed,zwid
Christopher Price (TT1 Hypers),24.903,189331
Jimbo Viny (TFC),24.992,3297493
Nathan Tully (SDW Youth),27.3,2757731
Leo Hughes (SDW Youth),27.849,2403581
Mark Kassels(TT1 Hypos)9115,28.08,1554576
Fiona Thomson (CMA),28.449,533788
Nathan Tully (SDW Youth),28.546,2757731
Cefn O&rsquo;Ryan (ART),28.603,740252
Ladean Unser [WTRL] (DraftingDinos2),28.63,86000
Fiona Thomson (CMA),28.939,533788
Jason Watts &#9419; (Vegan CocoNuts),28.998,983355
Mary Swindles (AHDRL Degenerates),29.196,1140029
Ladean Unser [WTRL] (DraftingDinos2),29.239,86000
