name,elapsed,zwid
Cefn O&rsquo;Ryan (ART),14.201,740252
Cefn O&rsquo;Ryan (ART),14.386,740252
Leo Hughes (SDW Youth),15.052,2403581
Jason Watts &#9419; (Vegan CocoNuts),15.189,983355
Christopher Price (TT1 Hypers),15.249,189331
Christopher Price (TT1 Hypers),15.395,189331
Tim Coppens&#127793; [Team Vegan],15.528,2139446
Mary Swindles (AHDRL Degenerates),15.923,1140029
Amy Morris23 [WTRL] (draftingdinos3),16.013,2733583
Nathan Tully (SDW Youth),16.168,2757731
Christopher Price (TT1 Hypers),16.245,189331
Naomi Bright (Vegan Fireflies) ,16.299,2885796
Nathan Tully (SDW Youth),16.316,2757731
Mark Kassels(TT1 Hypos)9115,16.336,1554576
Cefn O&rsquo;Ryan (ART),16.468,740252
Andrew Hayton (ART Fusion),16.501,509608
Leo Hughes (SDW Youth),16.61,2403581
Henry Bottoms (SDW YOUTH),16.735,3199370
Jimbo Viny (TFC),16.751,3297493
Mark Kassels(TT1 Hypos)9115,16.886,1554576
Ladean Unser [WTRL] (DraftingDinos2),16.9,86000
Jimbo Viny (TFC),16.946,3297493
Sam Brooker (TT1 Hypers) ,17.054,2470984
