registered_name,category,race_time,time_diff,zid,zp_name,team,subteam
Evan Flater,b,1:05:03.163000,0:00:00,1063791,E Flater (OTR),"('On the Rivet',)",
Lukas Pedersen,b,1:05:03.558000,0:00:00.395000,1495980,Lukas Pedersen,"('None',)",
Martijn van der Vis,b,1:05:03.612000,0:00:00.449000,1452217,Martijn Van Der Vis [Team Vegan],"('Team Vegan Badgers',)",
Jeroen Speelmans,b,1:05:03.778000,0:00:00.615000,1401963,Jeroen Speelmans (LEQP),"('LEQP',)",
Darren Humphrey,b,1:05:03.829000,0:00:00.666000,2378415,Darren Humphrey [ECC] ,"('None',)",
Carl Krystek,b,1:05:03.906000,0:00:00.743000,609290,Carl [Team Vegan],"('Team Vegan Barracudas',)",
Simon Molyneux,b,1:05:04.062000,0:00:00.899000,216169,Simon Molyneux [TEAM VEGAN],"('Team Vegan Bobcats',)",
Alan Hugill,b,1:05:04.168000,0:00:01.005000,285500,Alan Hugill,"('Race3R',)",
Neil Hodgson,b,1:05:04.480000,0:00:01.317000,7520,Neil Hodgson (OTR),"('On the Rivet',)",
Daniel unt,b,1:05:04.489000,0:00:01.326000,182368,Daniel Hunt | LEQP,"('LEQP',)",
john hughes,b,1:05:04.674000,0:00:01.511000,1354923,John Hughes [Electricspirit.co]\xa0,"('Team Electricspirit.co',)",
James Eastwood,b,1:05:04.786000,0:00:01.623000,353326,James Eastwood [Socks4Watts] ,"('Socks4Watts',)",
Derek Mcintire,b,1:05:04.807000,0:00:01.644000,955953,Derek McIntire[Team Vegan] \u24cb,"('Team Vegan Barracudas',)",
Josh Nordell,b,1:05:04.945000,0:00:01.782000,1381321,Josh Nordell N\u2019Oregon (TFC),"('TFC',)",
Ross Hetherington,b,1:05:05.009000,0:00:01.846000,129517,Ross Hetherington Race3R \ud83d\udc0c,"('Race3R',)",
Ryan Ness,b,1:05:05.080000,0:00:01.917000,2858658,ryan NESS   (TFC),"('TFC',)",
