registered_name,category,race_time,time_diff,zid,zp_name,team,subteam
Patrick Harvey,c,1:08:24.488000,0:00:00,88086,Patch  Harvey [ BRT ],"('BRT',)",
Jamie Watson,c,1:08:25.451000,0:00:00.963000,448811,Jamie Watson (BRT Visma)   ,"('BRT',)",
Warren Honey,c,1:08:25.616000,0:00:01.128000,1059788,Warren Honey \u26a1\ufe0f\ud83e\udda1 \ud83e\uddf9(BRT Badgers),"('BRT',)",
David hill,c,1:08:25.969000,0:00:01.481000,964610,david  hill TFC ,"('TFC',)",
Philip Sudworth,c,1:08:26.668000,0:00:02.180000,314508,Philip Sudworth (TFC),"('TFC',)",
Jason Feltus,c,1:08:28.836000,0:00:04.348000,91269,Jason Feltus Race 3R ,"('Race3R',)",
Craig Christie ,c,1:10:45.835000,0:02:21.347000,130703,Craig  Christie \u26a1\ufe0fBRT ,"('BRT',)",
Cheryl Muldoon,c,1:10:45.944000,0:02:21.456000,113057,Cheryl Muldoon[Team Vegan],"('Team Vegan Spinach',)",
Craig Gritzen,c,1:11:13.597000,0:02:49.109000,527678,C raig [Vegan Crocodiles]\u270a\ud83c\udffc,"('Team Vegan Crocodiles',)",
Liam Chell,c,1:11:14.216000,0:02:49.728000,2677607,Liam Chell (TFC),"('TFC',)",
Alex Semple,c,1:11:14.723000,0:02:50.235000,2507868,Alex Semple (ART Neutrons),"('ART Neutrons',)",
Arni Sumarlidason,c,1:11:16.500000,0:02:52.012000,1897973,Sumarlidason Arni [Team Vegan],"('Team Vegan Coconuts',)",
Evelien Bunnik,c,1:11:18.049000,0:02:53.561000,1421324,Evelien Bunnik [Vegan Crocodiles],"('Team Vegan Crocodiles',)",
Dean Marriott,c,1:11:52.290000,0:03:27.802000,410330,Dean Marriott [Team Vegan],"('Team Vegan Spinach',)",
Daniel Ongley,c,1:11:52.913000,0:03:28.425000,2791237,Dan Ongley (ART Neutrons),"('ART Neutrons',)",
Ines Pfeilmeier,c,1:11:53.075000,0:03:28.587000,1604473,I KP [Team Vegan],"('Team Vegan Coconuts',)",
David Swan,c,1:11:53.318000,0:03:28.830000,246094,David  Swan \u26a1[BRT] C TC,"('BRT',)",
Stuart Cox,c,1:11:53.571000,0:03:29.083000,25377,Stuart Cox (v) [Team Vegan],"('Team Vegan Spinach',)",
Chantale Bouchard,c,1:11:53.782000,0:03:29.294000,224992,  Chalou[Team Vegan] ,"('Team Vegan Crocodiles',)",
Robert Moseley,c,1:11:53.872000,0:03:29.384000,2863452,Rob Moseley (ART Isotopes),"('ART Isotopes',)",
Guy Vandersmissen,c,1:11:54.250000,0:03:29.762000,980133,Guy Vdsmis (TFC),"('TFC',)",
Niccolò Martinoli,c,1:11:55.298000,0:03:30.810000,1354660,Niccol\xf2 Martinoli (C) [ITA],"('Team ITALY',)",
James Wyatt,c,1:12:08.544000,0:03:44.056000,3244114,James Wyatt \u24cb [Team Vegan],"('Team Vegan Coconuts',)",
Mark Sanders,c,1:12:09.292000,0:03:44.804000,2217260,Mark Sanders (ART Neutrons),"('ART Neutrons',)",
Morgan Bennett,c,1:12:10.203000,0:03:45.715000,1665071,Morgan Bennett [Vegan Coconuts],"('Team Vegan Coconuts',)",
Marco Xibilia,c,1:12:28.488000,0:04:04,3102685,Marco Xibilia [ITA],"('Team ITALY',)",
Ruth Breeze,c,1:12:28.613000,0:04:04.125000,1406512,Ruth Breeze (TT1 Hypers) ,"('Team Type 1',)",
Darrin Cook,c,1:12:28.960000,0:04:04.472000,2509064,Darrin Cook [Vegan Crocodiles],"('Team Vegan Crocodiles',)",
Dario Finatti,c,1:12:34.430000,0:04:09.942000,844179,Dario Finatti (ITA),"('Team ITALY',)",
DarrinG,c,1:12:34.744000,0:04:10.256000,68443,Darrin Grace,"('Green Machine',)",
Bruno Riollet,c,1:12:35.002000,0:04:10.514000,1534082,B runo Riollet (F),"('Green Machine',)",
Ari Tidhar,c,1:12:36.163000,0:04:11.675000,1178439,Ari Tidhar [Team Vegan] ,"('Team Vegan Crocodiles',)",
Tim Mennell,c,1:13:33.180000,0:05:08.692000,2610238,Tim Mennell (TFC),"('TFC',)",
Donnie Macaulay,c,1:14:29.062000,0:06:04.574000,867097,Donnie Macaulay (ART Neutrons),"('ART Neutrons',)",
Alessandro Gabrieli,c,1:14:30.362000,0:06:05.874000,2846874,Alessandro Gabrieli (C) [ITA],"('Team ITALY',)",
Jonathon Lees,c,1:14:30.610000,0:06:06.122000,3160142,Jonathon Lees (ART Neutrons),"('ART Neutrons',)",
Val Cummings,c,1:14:32.197000,0:06:07.709000,2990367,Val Cummings \u24cb [Team Vegan / EFT],"('Team Vegan Crocodiles',)",
Michelle Gates,c,1:14:41.516000,0:06:17.028000,1375409,Michelle Gates \u24cb [TEAM VEGAN],"('Team Vegan Spinach',)",
Jose Descoteaux,c,1:14:41.521000,0:06:17.033000,664787,Jose Descoteaux,"('Green Machine',)",
Allison Gates,c,1:14:41.984000,0:06:17.496000,1375378,Allison Gates [TEAM VEGAN],"('Team Vegan Spinach',)",
Marco Bregolato,c,1:16:22.134000,0:07:57.646000,1022750,Marco Bregolato    [ITA],"('Team ITALY',)",
Larrs Bennett,c,1:16:24.721000,0:08:00.233000,38350,L ars B Team Vegan,"('Team Vegan Coconuts',)",
Rudi peters,c,1:16:56.020000,0:08:31.532000,2682294,Rudi Peters (OTR),"('On the Rivet',)",
Marko Niederheide,c,1:18:11.672000,0:09:47.184000,601425,M arko [Team Vegan],"('Team Vegan Spinach',)",
Mary Dootson,c,1:18:14.247000,0:09:49.759000,2650031,Mary Dootson \ud83d\udc27 [Race3R] ,"('Race3R',)",
Joe Winning,c,1:18:14.434000,0:09:49.946000,435308,Joe  Winning (ART Neutrons),"('ART Neutrons',)",
Georges Hernandez,c,1:18:24.718000,0:10:00.230000,764173,H Georges[VEGAN Crocodiles],"('Team Vegan Crocodiles',)",
John Bragg,c,1:18:34.641000,0:10:10.153000,2646918,John Bragg [Team Vegan],"('Team Vegan Spinach',)",
Lee Gale,c,1:18:35.541000,0:10:11.053000,1830608,Lee  Gale (ART Isotopes),"('ART Isotopes',)",
Chris Marshall,c,1:18:35.915000,0:10:11.427000,78090,Chris   Marshall (ART Isotopes),"('ART Isotopes',)",
Ben Weeding,c,1:18:36.036000,0:10:11.548000,223663,Ben Weeding (ART Isotopes) ,"('ART Isotopes',)",
Mark Humphreys,c,1:18:55.389000,0:10:30.901000,1679447,Mark Humphreys (BRT),"('BRT',)",
Derren Craddock,c,1:18:57.134000,0:10:32.646000,541028,Zed  Sprocket,"('Green Machine',)",
Rino Calo’,c,1:19:13.115000,0:10:48.627000,1497373,Rino Cal\xf2 [ITA],"('Team ITALY',)",
Cath Walls,c,1:19:32.240000,0:11:07.752000,2956232,Cath Walls [TEAM VEGAN] ,"('Team Vegan Crocodiles',)",
John Bamford,c,1:21:10.586000,0:12:46.098000,456955,John  John Bamford (ART Neutrons),"('ART Neutrons',)",
Steve Lytollis,c,1:21:44.219000,0:13:19.731000,1358214,Steve Lytollis (ART Isotopes),"('ART Isotopes',)",
Faye Armstrong ,c,1:23:46.510000,0:15:22.022000,187279,Faye Armstrong,"('Team RAVE',)",
Nadezda Polakova,c,1:25:41.721000,0:17:17.233000,189794,Nada 78\ud83c\udf31 [VEGAN],"('Team Vegan Coconuts',)",
Jo Fleming,c,1:25:44.378000,0:17:19.890000,490655,Jo Fleming [Team Vegan],"('Team Vegan Spinach',)",
Felicity Caddick,c,1:41:33.992000,0:33:09.504000,1955420,Felicity C (Socks4Watts),"('Socks4Watts',)",
