Position,Gap,Name,Team,Overall Time,Race 1,Race 2
1,,Chris Smart,NOPINZ R3R,01:24:28.370,00:23:11.432,01:01:16.938
2,00:00.652,Oliver Milk,BRT,01:24:29.022,00:23:11.439,01:01:17.583
3,00:00.788,Hans-Georg Becker,Team Vegan Alpacas,01:24:29.158,00:23:11.808,01:01:17.350
4,00:01.030,Adam C.,Team Vegan Antelopes,01:24:29.400,00:23:11.280,01:01:18.120
5,00:01.234,Hywel Davies,BRT,01:24:29.604,00:23:11.852,01:01:17.752
6,00:01.446,Joseph Chudyk,Finesse Rockets,01:24:29.816,00:23:11.712,01:01:18.104
7,00:01.455,Zach Harner,NOPINZ R3R,01:24:29.825,00:23:11.670,01:01:18.155
8,00:01.567,Alex TenElshof,Finesse Rockets,01:24:29.937,00:23:11.504,01:01:18.433
9,00:01.879,Robert McEwan,TFC,01:24:30.249,00:23:12.374,01:01:17.875
10,00:02.063,Duncan Johnson,On The Rivet,01:24:30.433,00:23:13.500,01:01:16.933
11,00:02.336,Nick Hird,CRYO-GEN,01:24:30.706,00:23:12.399,01:01:18.307
12,00:03.252,Olivier Symoens,Sportsolid,01:24:31.622,00:23:13.844,01:01:17.778
13,00:04.355,Alex rockwell,LEQP,01:24:32.725,00:23:13.152,01:01:19.573
14,00:04.880,Sergio Martin Amat,Purple Train,01:24:33.250,00:23:13.325,01:01:19.925
15,00:05.296,Leon O'Regan,TFC,01:24:33.666,00:23:13.344,01:01:20.322
16,00:07.589,Bart Nowaczek,Team Vegan Alpacas,01:24:35.959,00:23:14.336,01:01:21.623
17,00:08.748,Antti Vale,FZR,01:24:37.118,00:23:16.457,01:01:20.661
18,00:09.264,Tim Elskens,Sportsolid,01:24:37.634,00:23:17.043,01:01:20.591
19,00:09.335,Jono Martin,R3R Dev Black Eyed Peas,01:24:37.705,00:23:17.399,01:01:20.306
20,01:07.093,Chris Pocock,Socks4Watts,01:25:35.463,00:24:13.032,01:01:22.431
21,01:16.275,Scott Gleason,NOPINZ R3R,01:25:44.645,00:24:26.331,01:01:18.314
22,01:18.008,Joel Chidley,R3R Dev Red Hot Chilli Peppers,01:25:46.378,00:24:27.381,01:01:18.997
23,01:19.026,Steven Brierley,NOPINZ R3R,01:25:47.396,00:24:27.351,01:01:20.045
24,01:19.347,Adam Schwengler,Team Vegan Antelopes,01:25:47.717,00:24:26.541,01:01:21.176
25,01:22.988,Antonio Gatto,Team Vegan Alpacas,01:25:51.358,00:24:28.980,01:01:22.378
26,01:24.259,Neil Turner,Race3R,01:25:52.629,00:24:29.995,01:01:22.634
27,01:58.187,Noah Balch,On the Rivet,01:26:26.557,00:25:06.270,01:01:20.287
28,02:01.234,Goran Salavec,Race3R,01:26:29.604,00:25:08.286,01:01:21.318
29,03:26.802,Dan Stimson,R3R Dev Red Hot Chilli Peppers,01:27:55.172,00:24:28.136,01:03:27.036
30,03:45.261,Tom Lovejoy,Race3R,01:28:13.631,00:25:07.259,01:03:06.372
31,03:47.287,Richard Woods,Team Vegan Antelopes,01:28:15.657,00:23:59.366,01:04:16.291
32,04:14.614,Simon Hale,ART Nuclear,01:28:42.984,00:24:27.486,01:04:15.498
33,04:15.792,Colin Saunders,On the Rivet,01:28:44.162,00:24:28.213,01:04:15.949
34,04:17.586,Mark Robinson,R3R Dev Red Hot Chilli Peppers,01:28:45.956,00:24:29.859,01:04:16.097
35,04:44.635,Simon de Kerpel,R3R Dev Red Hot Chilli Peppers,01:29:13.005,00:24:29.542,01:04:43.463
36,04:53.040,Mike Christensen,On the Rivet,01:29:21.410,00:25:06.499,01:04:14.911
37,04:55.525,Erich Byers,Team Vegan Antelopes,01:29:23.895,00:25:08.199,01:04:15.696
38,05:11.930,Luís Medeiros Pereira,Team Vegan Alpacas,01:29:40.300,00:24:28.924,01:05:11.376
39,05:30.745,Luis Pinheiro,R3R Dev Red Hot Chilli Peppers,01:29:59.115,00:24:28.543,01:05:30.572
40,05:31.208,Robin Braam,Team Vegan Alpacas,01:29:59.578,00:24:29.693,01:05:29.885
41,06:06.818,Pete Brookes,ART Nuclear,01:30:35.188,00:25:06.390,01:05:28.798
42,06:08.428,Joe Monks,Race3R,01:30:36.798,00:25:07.058,01:05:29.740
43,06:08.780,Filipe Afonso,JIC RACING TEAM,01:30:37.150,00:25:06.698,01:05:30.452
44,06:09.203,James Hayward,Socks4Watts,01:30:37.573,00:25:07.327,01:05:30.246
45,06:54.071,Ben Gamsa,R3R Dev Red Hot Chilli Peppers,01:31:22.441,00:24:27.948,01:06:54.493
46,07:02.456,Les Corran,ART Nuclear,01:31:30.826,00:26:00.614,01:05:30.212
47,07:32.179,Andrew Robinson,TFC,01:32:00.549,00:25:06.833,01:06:53.716
48,07:33.862,Dan welch,Green machine,01:32:02.232,00:25:06.878,01:06:55.354
49,07:34.980,Mark Suret,R3R Dev Black Eyed Peas,01:32:03.350,00:25:07.436,01:06:55.914
50,07:35.922,Jude Milburn,Race3R,01:32:04.292,00:25:08.408,01:06:55.884
51,07:36.336,Kristin Moat,R3R Dev Black Eyed Peas,01:32:04.706,00:25:08.276,01:06:56.430
52,07:37.528,Rich Lythgoe,Team Vegan Antelopes,01:32:05.898,00:25:09.802,01:06:56.096
53,08:40.464,Tom Bass,LEQP,01:33:08.834,00:26:11.885,01:06:56.949
54,08:40.625,Cody Juntikka,On the Rivet,01:33:08.995,00:26:12.622,01:06:56.373
55,09:10.439,Simone Sighinolfi,Team Vegan Antelopes,01:33:38.809,00:25:10.121,01:08:28.688
56,09:50.452,Giles Aldridge,ART Nuclear,01:34:18.822,00:27:06.458,01:07:12.364
57,12:19.397,Roland Bösche,Green Machine,01:36:47.767,00:24:28.071,01:12:19.696
58,13:51.306,Neil jj Fraser,Green Machine,01:38:19.676,00:26:01.287,01:12:18.389
59,21:39.712,Jens Holloch,Green Machine,01:46:08.082,00:27:06.751,01:19:01.331
60,27:13.227,Mike Sarnecki,iGregari,01:51:41.597,00:23:14.597,01:28:27.000
61,27:13.965,Maximiliaan Meester,Canyon Coalition,01:51:42.335,00:23:15.335,01:28:27.000
62,30:11.241,Jonny Winward,WKG,01:54:39.611,00:26:13.098,01:28:26.513
