Position,Name,Team,Total Points,Race 1,Race 2
1,Oliver Milk,BRT,42,10,32
2,Chris Smart,NOPINZ R3R,30,15,15
3,Adam C.,Team Vegan Antelopes,22,20,2
4,Hywel Davies,BRT,22,2,20
5,Duncan Johnson,On The Rivet,22,0,22
6,Robert McEwan,TFC,20,1,19
7,Olivier Symoens,Sportsolid,19,0,19
8,Nick Hird,CRYO-GEN,18,0,18
9,Hans-Georg Becker,Team Vegan Alpacas,13,3,10
10,Leon O'Regan,TFC,10,0,10
11,Alex TenElshof,Finesse Rockets,8,8,0
12,Zach Harner,NOPINZ R3R,7,6,1
13,Joseph Chudyk,Finesse Rockets,7,4,3
14,Peter West,R3R Dev Black Eyed Peas,5,5,0
15,Steven Brierley,NOPINZ R3R,5,0,5
16,Neil Turner,Race3R,4,0,4
17,Scott Gleason,NOPINZ R3R,3,0,3
18,Colin Saunders,On the Rivet,3,0,3
19,Pete Brookes,ART Nuclear,2,0,2
20,Alex rockwell,LEQP,2,0,2
21,Roger Skelley,1st Chard Wheelers,0,0,0
22,Andy Harling,ART Nuclear,0,0,0
23,Giles Aldridge,ART Nuclear,0,0,0
24,Les Corran,ART Nuclear,0,0,0
25,liam Baister,ART Nuclear,0,0,0
26,Simon Hale,ART Nuclear,0,0,0
27,Stuart Gough,Beds Road RT,0,0,0
28,Andy Kempe,Canyon Coalition,0,0,0
29,Maximiliaan Meester,Canyon Coalition,0,0,0
30,Antti Vale,FZR,0,0,0
31,Dan welch,Green machine,0,0,0
32,Jens Holloch,Green Machine,0,0,0
33,Matt Howell,Green Machine,0,0,0
34,Roland Bösche,Green Machine,0,0,0
35,Neil jj Fraser,Green Machine,0,0,
36,Mike Sarnecki,iGregari,0,0,0
37,Filipe Afonso,JIC RACING TEAM,0,0,0
38,Tom Bass,LEQP,0,0,0
39,Erik Haugen,NOPINZ R3R,0,0,0
40,Matt Looker,NOPINZ R3R,0,0,0
41,Brent Dickie,On the Rivet,0,0,0
42,Brian Bishop,On the Rivet,0,0,0
43,Cody Juntikka,On the Rivet,0,0,0
44,Duke Hogan-Murphy,On the Rivet,0,0,0
45,Mike Christensen,On the Rivet,0,0,0
46,Noah Balch,On the Rivet,0,0,0
47,Seb [Beastmode],Project Beastmode,0,0,0
48,Sergio Martin Amat,Purple Train,0,0,0
49,Billy Laight,R3R Dev Black Eyed Peas,0,0,0
50,Dean Neale,R3R Dev Black Eyed Peas,0,0,0
51,Jono Martin,R3R Dev Black Eyed Peas,0,0,0
52,Kristin Moat,R3R Dev Black Eyed Peas,0,0,0
53,Mark Suret,R3R Dev Black Eyed Peas,0,0,0
54,Thomas Cromarty,R3R Dev Black Eyed Peas,0,0,0
55,Will Lowden,R3R Dev Black Eyed Peas,0,0,0
56,Are Wroldsen Ribe,R3R Dev Red Hot Chilli Peppers,0,0,0
57,Ben Gamsa,R3R Dev Red Hot Chilli Peppers,0,0,0
58,Dan O'Shea,R3R Dev Red Hot Chilli Peppers,0,0,0
59,Dan Stimson,R3R Dev Red Hot Chilli Peppers,0,0,0
60,Joel Chidley,R3R Dev Red Hot Chilli Peppers,0,0,0
61,Luis Pinheiro,R3R Dev Red Hot Chilli Peppers,0,0,0
62,Mark Robinson,R3R Dev Red Hot Chilli Peppers,0,0,0
63,Michael Pattinson,R3R Dev Red Hot Chilli Peppers,0,0,0
64,Simon de Kerpel,R3R Dev Red Hot Chilli Peppers,0,0,0
65,Goran Salavec,Race3R,0,0,0
66,Joe Monks,Race3R,0,0,0
67,john anderson,Race3R,0,0,0
68,Jude Milburn,Race3R,0,0,0
69,Simon Coles,Race3R,0,0,0
70,Tim Perkin,Race3R,0,0,0
71,Tom Lovejoy,Race3R,0,0,0
72,Mark Royle,RaphaCC,0,0,0
73,Alice Lethbridge,Socks4Watts,0,0,0
74,Charlie Gaimster,Socks4Watts,0,0,0
75,Chris Debonnaire,Socks4Watts,0,0,0
76,Chris Pocock,Socks4Watts,0,0,0
77,Harrison Wood,Socks4Watts,0,0,0
78,James Hayward,Socks4Watts,0,0,0
79,Jane Despas,Socks4Watts,0,0,0
80,Sam Lashley,Socks4Watts,0,0,0
81,Tim Elskens,Sportsolid,0,0,0
82,Andrew Jackson,Team Vegan Alpacas,0,0,0
83,Antonio Gatto,Team Vegan Alpacas,0,0,0
84,Bart Nowaczek,Team Vegan Alpacas,0,0,0
85,Dennis Hahn,Team Vegan Alpacas,0,0,0
86,Isamu Matsuyama,Team Vegan Alpacas,0,0,0
87,Luís Medeiros Pereira,Team Vegan Alpacas,0,0,0
88,Mark Scoot,Team Vegan Alpacas,0,0,0
89,Robin Braam,Team Vegan Alpacas,0,0,0
90,Zico Torre,Team Vegan Alpacas,0,0,0
91,Adam Schwengler,Team Vegan Antelopes,0,0,0
92,Erich Byers,Team Vegan Antelopes,0,0,0
93,Kilian Hemart,Team Vegan Antelopes,0,0,0
94,Mathieu Herault,Team Vegan Antelopes,0,0,0
95,Rich Lythgoe,Team Vegan Antelopes,0,0,0
96,Richard Woods,Team Vegan Antelopes,0,0,0
97,Simone Sighinolfi,Team Vegan Antelopes,0,0,0
98,Steve Farries,Team Vegan Antelopes,0,0,0
99,Stu Gardiner,Team Vegan Antelopes,0,0,0
100,Wells Willett,Team Vegan Antelopes,0,0,0
101,Andrew Robinson,TFC,0,0,0
102,Nuno Lourenço,TugaZRT,0,0,0
103,Jonny Winward,WKG,0,0,0
