Position,Name,Team,Total Points,Race 1,Race 2
1,Evan Flater,On the Rivet,42,0,42
2,Daniel Hunt,LEQP,31,20,11
3,Jeroen Speelmans,LEQP,26,10,16
4,Neil Hodgson,On the Rivet,24,3,21
5,Lukas Pedersen,None,20,5,15
6,Ross Hetherington,Race3R,15,15,0
7,john hughes,Team Electricspirit.co,15,2,13
8,Martijn van der Vis,Team Vegan Badgers,11,1,10
9,Alan Hugill,Race3R,9,0,9
10,James Eastwood,Socks4Watts,8,8,0
11,Karel Smeets,Team Vegan Badgers,8,4,4
12,Patrick Söller,Team Vegan Bobcats,8,0,8
13,Rob Valdes,Islington Cycling Club,6,6,0
14,Scott McGowan,Green Machine,6,0,6
15,Daniel Bolton,LEQP,6,0,6
16,Darren Humphrey,None,6,0,6
17,Carl Krystek,Team Vegan Barracudas,5,0,5
18,Nikolaj Therkelsen,Team Vegan Bobcats,5,0,5
19,Simon Molyneux,Team Vegan Bobcats,4,0,4
20,Oliver Paul,CRYO-GEN,3,0,3
21,Jeremy Leal,On The Rivet,3,0,3
22,Joel Howard,Team Vegan Badgers,2,0,2
23,albert chan,On The Rivet,1,0,1
24,Anne-Marie Benoy,Aeonian Race Team,0,0,0
25,Chris Green,ART Photons,0,0,0
26,Gerald Baister,ART Photons,0,0,0
27,Kev Taylor,ART Photons,0,0,0
28,Jeff Woods,ART Photons,0,0,0
29,Paul Tippins,ART Photons,0,0,0
30,Pauli Markkanen,ART Photons,0,0,0
31,Will Hayes,ART Photons,0,0,0
32,Jason Byles,ART Photons,0,0,0
33,Steve Luke,ART Photons,0,0,0
34,Rich Harrison,ART Photons,0,0,0
35,Jeff Weinert,Base Media Racing,0,0,0
36,Dobbelaere Romano,BZR,0,0,0
37,Bruno Luna,Canyon Coalition,0,0,0
38,Tobias Schmitt,Canyon Coalition,0,0,0
39,Jerome LOISON,CRYO-GEN,0,0,0
40,Blake Chaney,DIRT,0,0,0
41,Jesse Chavez,Green Machine,0,0,0
42,John Seaward,Green Machine,0,0,0
43,Kristof schaep,Green Machine,0,0,0
44,Nolan Wages,Green Machine,0,0,0
45,Stuart Pickering,Green Machine,0,0,0
46,IvanGG,Green Machine,0,0,0
47,Chris Tye,Herd,0,0,0
48,Paul Vance,Herd,0,0,0
49,Bertram Jongeneelen,HIK,0,0,0
50,Debra Sluz Parker,Socks4Watts,0,0,0
51,Rebecca Sutton,Kiss Racing Team,0,0,0
52,Joke van Wijk-Vink,LEQP,0,0,0
53,Manu Ndo,None,0,0,0
54,Ben Cristofori,None,0,0,0
55,Chris Stewart,On the Rivet,0,0,0
56,Kevin Linsiamud,On the Rivet,0,0,0
57,Ron Gallo,On the Rivet,0,0,0
58,David Akrigg,Race3r,0,0,0
59,Dean dingle,Race3R,0,0,0
60,Jim Callender,Race3R,0,0,0
61,Lindon Clowes,Race3R,0,0,0
62,Richard Vale,Race3R,0,0,0
63,Terry Skeet,Race3R,0,0,0
64,Tim Burdon,Race3R,0,0,0
65,Julian Fussell,SDW,0,0,0
66,Annette Golawska,Socks4watts,0,0,0
67,David Morgan,Socks4Watts,0,0,0
68,Donna Watts,Socks4Watts,0,0,0
69,Fabian du Bernard,Socks4Watts,0,0,0
70,Gareth James,Socks4Watts,0,0,0
71,Russell Brookes,Socks4Watts,0,0,0
72,Kate Robinson,Socks4Watts,0,0,0
73,Andrew Connor,TBR Racing,0,0,0
74,Luca Fracchiolla,Team Italy,0,0,0
75,Marco Rolle,Team ITALY,0,0,0
76,Fran Bambust,Team RAVE,0,0,0
77,Jenni Kinnunen,Team RAVE,0,0,0
78,Lisa-jane Lait,Team RAVE,0,0,0
79,Chris Rose,Team Type 1,0,0,0
80,Ashley Dawson,Team Vegan Badgers,0,0,0
81,Fatih Sever,Team Vegan Badgers,0,0,0
82,German Di Manzo,Team Vegan Badgers,0,0,0
83,James Cooper,Team Vegan Badgers,0,0,0
84,Jane Geddes,Team Vegan Badgers,0,0,0
85,Maykel van der Pennen,Team Vegan Badgers,0,0,0
86,Mike Potter,Team Vegan Badgers,0,0,0
87,Neil Owens,Team Vegan Badgers,0,0,0
88,Ayaz Asif,Team Vegan Badgers,0,0,0
89,Mike Cannon,Team Vegan Barracudas,0,0,0
90,Mike Noad,Team Vegan Barracudas,0,0,0
91,Atilla Yılmaz,Team Vegan Barracudas,0,0,0
92,Carlos Marin,Team Vegan Barracudas,0,0,0
93,Dan Tommila,Team Vegan Barracudas,0,0,0
94,Daniel Dugal,Team Vegan Barracudas,0,0,0
95,Derek Mcintire,Team Vegan Barracudas,0,0,0
96,Fred Cerdeira,Team Vegan Barracudas,0,0,0
97,Matze,Team Vegan Barracudas,0,0,0
98,Marc Pierschel,Team Vegan Barracudas,0,0,0
99,Mike Reardon,Team Vegan Bobcats,0,0,0
100,Phil Daws,Team Vegan Bobcats,0,0,0
101,Raymond Hallam,Team Vegan Bobcats,0,0,0
102,Richard Corbridge,Team Vegan Bobcats,0,0,0
103,rob walsh,Team Vegan Bobcats,0,0,0
104,Tilen Vrhunc,Team Vegan Bobcats,0,0,0
105,Jonathan Jones,Team Vegan Bobcats,0,0,0
106,Sean Leary,Team Vegan Bobcats,0,0,0
107,James Black,Team Vegan Bobcats,0,0,0
108,Angela Joiner-Handy,TFC,0,0,0
109,Daniel Rockliff,TFC,0,0,0
110,Darren Taylor,TFC,0,0,0
111,Dave Brodmann,TFC,0,0,0
112,David Nickolls ,TFC,0,0,0
113,GARY BONNER,TFC,0,0,0
114,Josh Nordell,TFC,0,0,0
115,Mark Ward,TFC,0,0,0
116,Ryan Ness,TFC,0,0,0
117,Matthew Rockliff,TFC,0,0,0
118,Duncan Samwell,Tri-Anglia,0,0,0
119,Rob Lines,Tri-Anglia,0,0,0
120,Chanti Le Roux,Valhalla,0,0,0
121,Jurij,Valhalla,0,0,0
122,Emmanuel P,WKG,0,0,0
123,Gary Cowlam,WKG,0,0,0
124,Gordon Jackson,WKG,0,0,0
