Position,Gap,Name,Team,Overall Time,Race 1,Race 2
1,,Patrick Harvey,BRT,01:34:59.309,00:26:34.701,01:08:24.608
2,00:00:01.413,Jamie Watson,BRT,01:35:00.722,00:26:35.151,01:08:25.571
3,00:00:02.415,Warren Honey,BRT,01:35:01.724,00:26:35.988,01:08:25.736
4,00:00:03.000,Philip Sudworth,TFC,01:35:02.309,00:26:35.521,01:08:26.788
5,00:00:06.997,Jason Feltus,Race3R,01:35:06.306,00:26:37.350,01:08:28.956
6,00:00:35.974,David hill,TFC,01:35:35.283,00:27:09.194,01:08:26.089
7,00:02:52.534,Craig Gritzen,Team Vegan Crocodiles,01:37:51.843,00:26:38.126,01:11:13.717
8,00:02:57.905,Cheryl Muldoon,Team Vegan Spinach,01:37:57.214,00:27:11.150,01:10:46.064
9,00:02:59.593,Liam Chell,TFC,01:37:58.902,00:26:44.566,01:11:14.336
10,00:03:27.728,Evelien Bunnik,Team Vegan Crocodiles,01:38:27.037,00:27:08.868,01:11:18.169
11,00:03:35.036,Dean Marriott,Team Vegan Spinach,01:38:34.345,00:26:41.935,01:11:52.410
12,00:03:39.347,Guy Vandersmissen,TFC,01:38:38.656,00:26:44.286,01:11:54.370
13,00:04:02.621,Daniel Ongley,ART Neutrons,01:39:01.930,00:27:08.897,01:11:53.033
14,00:04:04.678,David Swan,BRT,01:39:03.987,00:27:10.549,01:11:53.438
15,00:04:08.138,Niccolò Martinoli,Team ITALY,01:39:07.447,00:27:12.029,01:11:55.418
16,00:04:08.771,Robert Moseley,ART Isotopes,01:39:08.080,00:27:14.088,01:11:53.992
17,00:04:22.223,Craig Christie ,BRT,01:39:21.532,00:28:35.577,01:10:45.955
18,00:04:33.922,Chantale Bouchard,Team Vegan Crocodiles,01:39:33.231,00:27:39.329,01:11:53.902
19,00:04:45.490,Alex Semple,ART Neutrons,01:39:44.799,00:28:29.956,01:11:14.843
20,00:04:59.025,Morgan Bennett,Team Vegan Coconuts,01:39:58.334,00:27:48.011,01:12:10.323
21,00:05:18.127,Marco Xibilia,Team ITALY,01:40:17.436,00:27:48.828,01:12:28.608
22,00:05:42.103,Mark Sanders,ART Neutrons,01:40:41.412,00:28:32.000,01:12:09.412
23,00:05:42.912,Ines Pfeilmeier,Team Vegan Coconuts,01:40:42.221,00:28:49.026,01:11:53.195
24,00:05:52.144,Ari Tidhar,Team Vegan Crocodiles,01:40:51.453,00:28:15.170,01:12:36.283
25,00:06:06.930,Dario Finatti,Team ITALY,01:41:06.239,00:28:31.689,01:12:34.550
26,00:06:07.958,DarrinG,Green Machine,01:41:07.267,00:28:32.403,01:12:34.864
27,00:06:33.224,Darrin Cook,Team Vegan Crocodiles,01:41:32.533,00:29:03.453,01:12:29.080
