Position,Name,Team,Total Points,Race 1,Race 2
1,Patrick Harvey,BRT,41,20,21
2,Jamie Watson,BRT,36,15,21
3,Warren Honey,BRT,33,8,25
4,David hill,TFC,26,0,26
5,John Bragg,Team Vegan Spinach,24,0,24
6,Philip Sudworth,TFC,19,10,9
7,Tim Mennell,TFC,17,0,17
8,Jason Feltus,Race3R,11,6,5
9,Kent Smith,Team Type 1,10,10,0
10,Nadezda Polakova,Team Vegan Coconuts,9,0,9
11,Marko Niederheide,Team Vegan Spinach,8,0,8
12,Dean Marriott,Team Vegan Spinach,7,2,5
13,Craig Gritzen,Team Vegan Crocodiles,6,4,2
14,Cheryl Muldoon,Team Vegan Spinach,6,0,6
15,Yann Gauthier,B&L,5,5,0
16,Craig Christie ,BRT,4,0,4
17,Rudi peters,On the Rivet,4,0,4
18,Dean Hardie,TFC,3,3,0
19,Joe Winning,ART Neutrons,2,0,2
20,Guy Vandersmissen,TFC,1,1,0
21,Dario Finatti,Team ITALY,1,0,1
22,Liam Chell,TFC,1,0,1
23,Alessandro Gabrieli,Team ITALY,0,0,0
24,Alex Semple,ART Neutrons,0,0,0
25,Allison Gates,Team Vegan Spinach,0,0,0
26,Annabel Mills,Green Machine,0,0,0
27,Arni Sumarlidason,Team Vegan Coconuts,0,0,0
28,Ben Weeding,ART Isotopes,0,0,0
29,Bruno Riollet,Green Machine,0,0,0
30,Cara McNamee,Team RAVE,0,0,0
31,Cath Walls,Team Vegan Crocodiles,0,0,0
32,Chantale Bouchard,Team Vegan Crocodiles,0,0,0
33,Chris Marshall,ART Isotopes,0,0,0
34,Claudio Crivelli,Team ITALY,0,0,0
35,Colin Gill,ART Neutrons,0,0,0
36,Connie Tang,Team RAVE,0,0,0
37,Daniel Ongley,ART Neutrons,0,0,0
38,Daniel Palmer,ART Isotopes,0,0,0
39,Darrin Cook,Team Vegan Crocodiles,0,0,0
40,DarrinG,Green Machine,0,0,0
41,David Broome,TFC,0,0,0
42,David Hivey,ART Isotopes,0,0,0
43,David Lago,Team Vegan Coconuts,0,0,0
44,David Swan,BRT,0,0,0
45,Derren Craddock,Green Machine,0,0,0
46,Dominic Hörl,KIRCHMAIR e-Cycling,0,0,0
47,Donnie Macaulay,ART Neutrons,0,0,0
48,Evelien Bunnik,Team Vegan Crocodiles,0,0,0
49,Faye Armstrong ,Team RAVE,0,0,0
50,Felicity Caddick,Socks4Watts,0,0,0
51,Georges Hernandez,Team Vegan Crocodiles,0,0,0
52,Graeme Blackwood,Team Vegan Coconuts,0,0,0
53,Graham Mccrindle,ART Neutrons,0,0,0
54,Ilona,Team RAVE,0,0,0
55,Ines Pfeilmeier,Team Vegan Coconuts,0,0,0
56,James Wyatt,Team Vegan Coconuts,0,0,0
57,Janice Coglin-Hibbert,Tri-Anglia,0,0,0
58,Jason Topley,none,0,0,0
59,Jo Fleming,Team Vegan Spinach,0,0,0
60,Joanne Smyth,WTRL,0,0,0
61,John Bamford,ART Neutrons,0,0,0
62,Jonathon Lees,ART Neutrons,0,0,0
63,Jose Descoteaux,Green Machine,0,0,0
64,Juan Vandromme,Herd,0,0,0
65,Jude Williams,Kiss Racing Team,0,0,0
66,Julie Clark (Francesca Julie),ART Isotopes,0,0,0
67,Julie Gallagher,On the Rivet,0,0,0
68,Katie Walther,Green Machine,0,0,0
69,Kenneth Yau,Team Vegan Coconuts,0,0,0
70,Koen Van de Loock,eWRT,0,0,0
71,Larrs Bennett,Team Vegan Coconuts,0,0,0
72,Laura Honhart,Team RAVE,0,0,0
73,Lee Gale,ART Isotopes,0,0,0
74,Linas P.,WKG,0,0,0
75,Marco,Team ITALY,0,0,0
76,Marco Bregolato,Team ITALY,0,0,0
77,Marco Xibilia,Team ITALY,0,0,0
78,Maria Hurter,Valhalla,0,0,0
79,Mark Humphreys,BRT,0,0,0
80,Mark Sanders,ART Neutrons,0,0,0
81,Mary Dootson,Race3R,0,0,0
82,Matthew James,ART Isotopes,0,0,0
83,Michelle Gates,Team Vegan Spinach,0,0,0
84,Morgan Bennett,Team Vegan Coconuts,0,0,0
85,Niccolò Martinoli,Team ITALY,0,0,0
86,Patrick Chalmers,Green Machine,0,0,0
87,Paula Zamora,WTRL,0,0,0
88,Rino Calo’,Team ITALY,0,0,0
89,Robert Moseley,ART Isotopes,0,0,0
90,Ruth Breeze,Team Type 1,0,0,0
91,Sarah Nicotero Axness,WTRL,0,0,0
92,Sharon Birkle,Green Machine,0,0,0
93,Shaun Carr,Rhino,0,0,0
94,Steve Lytollis,ART Isotopes,0,0,0
95,Stuart Cox,Team Vegan Spinach,0,0,0
96,Stuart Nash,ART Neutrons,0,0,0
97,Sukse Wiet,Team Vegan Coconuts,0,0,0
98,Ted Holland,Green Machine,0,0,0
99,Thomas Pera,Green Machine,0,0,0
100,Val Cummings,Team Vegan Crocodiles,0,0,0
101,WOO WAI HORNG,Green Machine,0,0,0
102,Ari Tidhar,Team Vegan Crocodiles,0,0,0
