Position,Name,Team,Total Points,Race 1,Race 2
1,Jimbo V,TFC,60,20,40
2,Cefn O'Ryan,ART Fusion,31,6,25
3,Christopher Price,Team Type 1,30,5,25
4,Mark Kassels,Team Type 1,20,4,16
5,Jason Watts,Team Vegan Dolphins,18,3,15
6,Nathan Tully,SDW Youth,18,0,18
7,Ollie Fussell,SDW Youth,15,15,0
8,Fiona Thomson,Green Machine,13,0,13
9,Andrew Hayton,ART Fusion,11,0,11
10,Ladean Unser,WTRL,11,0,11
11,Leo Hughes,SDW Youth,10,0,10
12,David Nielsen,Team Vegan Dolphins,8,8,0
13,Tim Coppens,Green Machine,4,2,2
14,Mary Swindles,ART Fusion,2,1,1
15,Henry Bottoms,SDW Youth,2,0,2
16,Gary Laverick,Team Vegan Dolphins,1,0,1
17,Adrian Bach,ART Fusion,0,0,0
18,Amy Morris,WTRL,0,0,0
19,Andy Williams,ART Fusion,0,0,0
20,Carolina Beidler,Green Machine,0,0,0
21,Devon King,WTRL,0,0,0
22,Dominic Shotton,ART Fusion,0,0,0
23,Dorothy Gibson,WTRL,0,0,0
24,Ellen Van Eeckhout,Green Machine,0,0,0
25,Hilda van der Veen,Team Vegan Fireflies,0,0,0
26,Jen Collins,Team Vegan Fireflies,0,0,0
27,Jenny Flanagan,Team Vegan Fireflies,0,0,0
28,Linny O'Rourke,ART Fusion,0,0,0
29,Marc Mahl,Froschgesichter,0,0,0
30,Melissa Thorburn,Team Vegan Fireflies,0,0,0
31,Mickey Murphy,Green Machine,0,0,0
32,Mike Devaney,Team Vegan Dolphins,0,0,0
33,Naomi Bright,Team Vegan Fireflies,0,0,0
34,Niene Niene ,KIRCHMAIR e-Cycling,0,0,0
35,Pierre-Alexandre TARRIEU,Green Machine,0,0,0
36,Ralph Tiemann,Dickere Waden,0,0,0
37,Ryan Biegen,Team Type 1,0,0,0
38,Sam Brooker,Team Type 1,0,0,0
39,Samantha Brennan,TFC,0,0,0
40,Steffi Köhler ,Team Vegan Fireflies,0,0,0
41,Steve Millward,TFC,0,0,0
42,Susan L Merrill,Team Vegan Fireflies,0,0,0
43,Terry Wright,None,0,0,0
