Position,Gap,Name,Team,Overall Time,Race 1,Race 2
1,,Ladean Unser,WTRL,01:49:47.047,00:31:24.024,01:18:23.023
2,00:04:55.992,Mary Swindles,ART Fusion,01:54:43.039,00:31:23.465,01:23:19.574
3,00:05:43.035,Dorothy Gibson,WTRL,01:55:30.082,00:32:09.924,01:23:20.158
4,00:06:28.975,Naomi Bright,Team Vegan Fireflies,01:56:16.022,00:32:56.689,01:23:19.333
5,00:07:06.677,Amy Morris,WTRL,01:56:53.724,00:33:34.224,01:23:19.500
6,00:09:22.417,Steffi Köhler ,Team Vegan Fireflies,01:59:09.464,00:32:08.056,01:27:01.408
7,00:09:45.708,Fiona Thomson,Green Machine,01:59:32.755,00:38:37.413,01:20:55.342
8,00:11:33.599,Hilda van der Veen,Team Vegan Fireflies,02:01:20.646,00:31:47.510,01:29:33.136
9,00:12:29.362,Ellen Van Eeckhout,Green Machine,02:02:16.409,00:33:30.329,01:28:46.080
10,00:14:29.628,Jen Collins,Team Vegan Fireflies,02:04:16.675,00:35:00.388,01:29:16.287
11,00:21:16.377,Niene Niene ,KIRCHMAIR e-Cycling,02:11:03.424,00:35:45.805,01:35:17.619
