zp_name,zid,category,race_time,time_diff,registered_name,team,subteam
E Flater (OTR),1063791,b,1:05:03.163000,0:00:00,Evan Flater,"('On the Rivet',)",
Lukas Pedersen,1495980,b,1:05:03.558000,0:00:00.395000,Lukas Pedersen,"('None',)",
Martijn Van Der Vis [Team Vegan],1452217,b,1:05:03.612000,0:00:00.449000,Martijn van der Vis,"('Team Vegan Badgers',)",
Jeroen Speelmans (LEQP),1401963,b,1:05:03.778000,0:00:00.615000,Jeroen Speelmans,"('LEQP',)",
Darren Humphrey [ECC] ,2378415,b,1:05:03.829000,0:00:00.666000,Darren Humphrey,"('None',)",
Carl [Team Vegan],609290,b,1:05:03.906000,0:00:00.743000,Carl Krystek,"('Team Vegan Barracudas',)",
Simon Molyneux [TEAM VEGAN],216169,b,1:05:04.062000,0:00:00.899000,Simon Molyneux,"('Team Vegan Bobcats',)",
Alan Hugill,285500,b,1:05:04.168000,0:00:01.005000,Alan Hugill,"('Race3R',)",
Neil Hodgson (OTR),7520,b,1:05:04.480000,0:00:01.317000,Neil Hodgson,"('On the Rivet',)",
Daniel Hunt | LEQP,182368,b,1:05:04.489000,0:00:01.326000,Daniel unt,"('LEQP',)",
John Hughes [Electricspirit.co]\xa0,1354923,b,1:05:04.674000,0:00:01.511000,john hughes,"('Team Electricspirit.co',)",
James Eastwood [Socks4Watts] ,353326,b,1:05:04.786000,0:00:01.623000,James Eastwood,"('Socks4Watts',)",
Derek McIntire[Team Vegan] \u24cb,955953,b,1:05:04.807000,0:00:01.644000,Derek Mcintire,"('Team Vegan Barracudas',)",
Josh Nordell N\u2019Oregon (TFC),1381321,b,1:05:04.945000,0:00:01.782000,Josh Nordell,"('TFC',)",
Ross Hetherington Race3R \ud83d\udc0c,129517,b,1:05:05.009000,0:00:01.846000,Ross Hetherington,"('Race3R',)",
ryan NESS   (TFC),2858658,b,1:05:05.080000,0:00:01.917000,Ryan Ness,"('TFC',)",
Tobias Schmitt (COALITION),1424719,b,1:05:05.282000,0:00:02.119000,Tobias Schmitt,"('Canyon Coalition',)",
Karel Smeets [Team Vegan],1402075,b,1:05:05.531000,0:00:02.368000,Karel Smeets,"('Team Vegan Badgers',)",
Paul Tippins  (ART Photons),121731,b,1:05:05.656000,0:00:02.493000,Paul Tippins,"('ART Photons',)",
Daniel Rockliff (TFC),23601,b,1:05:05.700000,0:00:02.537000,Daniel Rockliff,"('TFC',)",
Patrick S [Vegan Bobcats],1462344,b,1:05:05.715000,0:00:02.552000,Patrick Söller,"('Team Vegan Bobcats',)",
Jeremy Leal (OTR),2893659,b,1:05:05.833000,0:00:02.670000,Jeremy Leal,"('On The Rivet',)",
Jane Geddes (Vegan Badgers),1150516,b,1:05:06.023000,0:00:02.860000,Jane Geddes,"('Team Vegan Badgers',)",
Albert Chan ( OTR ),492994,b,1:05:06.060000,0:00:02.897000,albert chan,"('On The Rivet',)",
Oliver Paul (CRYO-GEN),472728,b,1:06:54.442000,0:01:51.279000,Oliver Paul,"('CRYO-GEN',)",
Tim Burdon (Race3R),114936,b,1:06:54.715000,0:01:51.552000,Tim Burdon,"('Race3R',)",
Will Hayes (ART Photons),632385,b,1:06:54.918000,0:01:51.755000,Will Hayes,"('ART Photons',)",
