zp_name,zid,category,race_time,time_diff,registered_name,team,subteam
Patch  Harvey [ BRT ],88086,c,1:08:24.488000,0:00:00,Patrick Harvey,"('BRT',)",
Jamie Watson (BRT Visma)   ,448811,c,1:08:25.451000,0:00:00.963000,Jamie Watson,"('BRT',)",
Warren Honey \u26a1\ufe0f\ud83e\udda1 \ud83e\uddf9(BRT Badgers),1059788,c,1:08:25.616000,0:00:01.128000,Warren Honey,"('BRT',)",
david  hill TFC ,964610,c,1:08:25.969000,0:00:01.481000,David hill,"('TFC',)",
Philip Sudworth (TFC),314508,c,1:08:26.668000,0:00:02.180000,Philip Sudworth,"('TFC',)",
Jason Feltus Race 3R ,91269,c,1:08:28.836000,0:00:04.348000,Jason Feltus,"('Race3R',)",
Craig  Christie \u26a1\ufe0fBRT ,130703,c,1:10:45.835000,0:02:21.347000,Craig Christie ,"('BRT',)",
Cheryl Muldoon[Team Vegan],113057,c,1:10:45.944000,0:02:21.456000,Cheryl Muldoon,"('Team Vegan Spinach',)",
C raig [Vegan Crocodiles]\u270a\ud83c\udffc,527678,c,1:11:13.597000,0:02:49.109000,Craig Gritzen,"('Team Vegan Crocodiles',)",
Liam Chell (TFC),2677607,c,1:11:14.216000,0:02:49.728000,Liam Chell,"('TFC',)",
Alex Semple (ART Neutrons),2507868,c,1:11:14.723000,0:02:50.235000,Alex Semple,"('ART Neutrons',)",
Sumarlidason Arni [Team Vegan],1897973,c,1:11:16.500000,0:02:52.012000,Arni Sumarlidason,"('Team Vegan Coconuts',)",
Evelien Bunnik [Vegan Crocodiles],1421324,c,1:11:18.049000,0:02:53.561000,Evelien Bunnik,"('Team Vegan Crocodiles',)",
Dean Marriott [Team Vegan],410330,c,1:11:52.290000,0:03:27.802000,Dean Marriott,"('Team Vegan Spinach',)",
Dan Ongley (ART Neutrons),2791237,c,1:11:52.913000,0:03:28.425000,Daniel Ongley,"('ART Neutrons',)",
I KP [Team Vegan],1604473,c,1:11:53.075000,0:03:28.587000,Ines Pfeilmeier,"('Team Vegan Coconuts',)",
David  Swan \u26a1[BRT] C TC,246094,c,1:11:53.318000,0:03:28.830000,David Swan,"('BRT',)",
Stuart Cox (v) [Team Vegan],25377,c,1:11:53.571000,0:03:29.083000,Stuart Cox,"('Team Vegan Spinach',)",
  Chalou[Team Vegan] ,224992,c,1:11:53.782000,0:03:29.294000,Chantale Bouchard,"('Team Vegan Crocodiles',)",
Rob Moseley (ART Isotopes),2863452,c,1:11:53.872000,0:03:29.384000,Robert Moseley,"('ART Isotopes',)",
Guy Vdsmis (TFC),980133,c,1:11:54.250000,0:03:29.762000,Guy Vandersmissen,"('TFC',)",
Niccol\xf2 Martinoli (C) [ITA],1354660,c,1:11:55.298000,0:03:30.810000,Niccolò Martinoli,"('Team ITALY',)",
James Wyatt \u24cb [Team Vegan],3244114,c,1:12:08.544000,0:03:44.056000,James Wyatt,"('Team Vegan Coconuts',)",
Mark Sanders (ART Neutrons),2217260,c,1:12:09.292000,0:03:44.804000,Mark Sanders,"('ART Neutrons',)",
Morgan Bennett [Vegan Coconuts],1665071,c,1:12:10.203000,0:03:45.715000,Morgan Bennett,"('Team Vegan Coconuts',)",
Marco Xibilia [ITA],3102685,c,1:12:28.488000,0:04:04,Marco Xibilia,"('Team ITALY',)",
Ruth Breeze (TT1 Hypers) ,1406512,c,1:12:28.613000,0:04:04.125000,Ruth Breeze,"('Team Type 1',)",
Darrin Cook [Vegan Crocodiles],2509064,c,1:12:28.960000,0:04:04.472000,Darrin Cook,"('Team Vegan Crocodiles',)",
Dario Finatti (ITA),844179,c,1:12:34.430000,0:04:09.942000,Dario Finatti,"('Team ITALY',)",
Darrin Grace,68443,c,1:12:34.744000,0:04:10.256000,DarrinG,"('Green Machine',)",
B runo Riollet (F),1534082,c,1:12:35.002000,0:04:10.514000,Bruno Riollet,"('Green Machine',)",
Ari Tidhar [Team Vegan] ,1178439,c,1:12:36.163000,0:04:11.675000,Ari Tidhar,"('Team Vegan Crocodiles',)",
Tim Mennell (TFC),2610238,c,1:13:33.180000,0:05:08.692000,Tim Mennell,"('TFC',)",
Donnie Macaulay (ART Neutrons),867097,c,1:14:29.062000,0:06:04.574000,Donnie Macaulay,"('ART Neutrons',)",
Alessandro Gabrieli (C) [ITA],2846874,c,1:14:30.362000,0:06:05.874000,Alessandro Gabrieli,"('Team ITALY',)",
Jonathon Lees (ART Neutrons),3160142,c,1:14:30.610000,0:06:06.122000,Jonathon Lees,"('ART Neutrons',)",
Val Cummings \u24cb [Team Vegan / EFT],2990367,c,1:14:32.197000,0:06:07.709000,Val Cummings,"('Team Vegan Crocodiles',)",
